FID	IID	sample	fluUniq	fluTot	humanUniq	humanTot	allUniq	allTot	perUniq	perTot
EvoImmunoPop	AFB081	AFB081-5	1417064	1418081	32257636	35954870	33674700	37372951	0.0420809687985	0.0379440467519
EvoImmunoPop	AFB081	AFB081-4	1486	1487	36934039	39791882	36935525	39793369	4.02322696104e-05	3.73680348603e-05
EvoImmunoPop	EUB115	EUB115-3	524	525	32623850	36562500	32624374	36563025	1.6061610868e-05	1.43587681818e-05
EvoImmunoPop	AFB081	AFB081-1	463	464	35693401	40403452	35693864	40403916	1.29714171601e-05	1.14840353593e-05
EvoImmunoPop	AFB081	AFB081-3	450	450	38008438	42657307	38008888	42657757	1.18393361048e-05	1.05490778617e-05
EvoImmunoPop	AFB081	AFB081-2	85	85	35959506	39592842	35959591	39592927	2.36376437096e-06	2.14684809739e-06
EvoImmunoPop	EUB118	EUB118-5	2522421	2524250	33761314	40846129	36283735	43370379	0.069519331458	0.0582021660452
EvoImmunoPop	EUB031	EUB031-5	2503151	2505059	29754420	34437561	32257571	36942620	0.0775988681851	0.0678094569362
EvoImmunoPop	EUB115	EUB115-5	2986260	2988512	32989730	40548736	35975990	43537248	0.0830070277427	0.0686426482446
EvoImmunoPop	AFB026	AFB026-4	241	241	38830663	43636166	38830904	43636407	6.20639684309e-06	5.52291117827e-06
EvoImmunoPop	AFB119	AFB119-5	749524	750041	34652898	38730264	35402422	39480305	0.0211715458338	0.0189978522202
EvoImmunoPop	AFB119	AFB119-4	509	509	35743113	38464186	35743622	38464695	1.42403027874e-05	1.32329139748e-05
EvoImmunoPop	AFB119	AFB119-3	204	204	32338343	35562389	32338547	35562593	6.30826115966e-06	5.73636461211e-06
EvoImmunoPop	AFB119	AFB119-2	367	368	34369261	37277412	34369628	37277780	1.06780323604e-05	9.87183249646e-06
EvoImmunoPop	AFB119	AFB119-1	669	670	35093432	39002938	35094101	39003608	1.90630328442e-05	1.71778980037e-05
EvoImmunoPop	AFB163	AFB163-3	586	587	37533325	41235079	37533911	41235666	1.56125483433e-05	1.42352496501e-05
EvoImmunoPop	EUB088	EUB088-3	593	594	28685310	31722891	28685903	31723485	2.06721747612e-05	1.8724298418e-05
EvoImmunoPop	EUB088	EUB088-2	708	708	29337562	33715926	29338270	33716634	2.41323022796e-05	2.09985373985e-05
EvoImmunoPop	EUB088	EUB088-1	52	52	35254004	39288931	35254056	39288983	1.47500758494e-06	1.32352624144e-06
EvoImmunoPop	EUB088	EUB088-5	1961860	1963430	38253306	44120163	40215166	46083593	0.0487840830994	0.0426058358774
EvoImmunoPop	EUB088	EUB088-4	122	122	31690202	34564255	31690324	34564377	3.8497555279e-06	3.52964556543e-06
EvoImmunoPop	AFB053	AFB053-4	176	176	35754716	39261379	35754892	39261555	4.92240334553e-06	4.48275673238e-06
EvoImmunoPop	AFB146	AFB146-3	150	151	35005661	39179010	35005811	39179161	4.28500285281e-06	3.85408967793e-06
EvoImmunoPop	EUB166	EUB166-5	1123456	1124377	29518512	33000854	30641968	34125231	0.0366639636201	0.0329485535204
EvoImmunoPop	AFB053	AFB053-1	687	687	31078085	35095091	31078772	35095778	2.21051204983e-05	1.95750041501e-05
EvoImmunoPop	AFB053	AFB053-2	91	91	29199874	31986202	29199965	31986293	3.11644209163e-06	2.84496862453e-06
EvoImmunoPop	AFB213	AFB213-3	308	308	33834833	37415415	33835141	37415723	9.10296191761e-06	8.23183344606e-06
EvoImmunoPop	AFB028	AFB028-5	1568066	1569451	26916153	30650081	28484219	32219532	0.0550503420859	0.0487111668785
EvoImmunoPop	EUB045	EUB045-4	298	298	27638265	31706568	27638563	31706866	1.07820366782e-05	9.39859524432e-06
EvoImmunoPop	AFB204	AFB204-2	1592	1592	33326300	37126792	33327892	37128384	4.77677976153e-05	4.2878246465e-05
EvoImmunoPop	AFB151	AFB151-2	1480	1480	38529043	42423154	38530523	42424634	3.84111059172e-05	3.48853922935e-05
EvoImmunoPop	AFB151	AFB151-1	2055	2057	32340230	36319079	32342285	36321136	6.35391098681e-05	5.66336911929e-05
EvoImmunoPop	AFB204	AFB204-1	561	561	38376088	42940128	38376649	42940689	1.46182643513e-05	1.30645318709e-05
EvoImmunoPop	AFB204	AFB204-4	452	452	37488575	44240366	37489027	44240818	1.20568613317e-05	1.02168092823e-05
EvoImmunoPop	AFB151	AFB151-4	844	844	36906031	40880570	36906875	40881414	2.28683680209e-05	2.06450784701e-05
EvoImmunoPop	AFB207	AFB207-1	1424	1426	35052721	38279926	35054145	38281352	4.06228707047e-05	3.72505129913e-05
EvoImmunoPop	AFB207	AFB207-3	656	656	35005953	38661358	35006609	38662014	1.87393186241e-05	1.69675589068e-05
EvoImmunoPop	AFB207	AFB207-2	852	857	35561370	40265453	35562222	40266310	2.39580080232e-05	2.12833011021e-05
EvoImmunoPop	AFB207	AFB207-5	1120984	1121837	34419854	39885624	35540838	41007461	0.0315407306941	0.0273568997603
EvoImmunoPop	AFB207	AFB207-4	636	636	36998321	40338383	36998957	40339019	1.71896737522e-05	1.5766372504e-05
EvoImmunoPop	EUB067	EUB067-4	146	146	29632367	32961956	29632513	32962102	4.92702053316e-06	4.42932917324e-06
EvoImmunoPop	AFB090	AFB090-5	2684492	2686623	33732806	38696044	36417298	41382667	0.0737147495127	0.0649214561256
EvoImmunoPop	AFB177	AFB177-4	693	694	35071716	38358417	35072409	38359111	1.97591217643e-05	1.8092181542e-05
EvoImmunoPop	AFB213	AFB213-5	1624199	1625395	31069453	34836278	32693652	36461673	0.0496793383621	0.044578179394
EvoImmunoPop	EUB004	EUB004-5	3589458	3592566	29793740	34657569	33383198	38250135	0.107522892205	0.0939229626248
EvoImmunoPop	EUB004	EUB004-4	0	0	30552806	34003012	30552806	34003012	0	0
EvoImmunoPop	EUB004	EUB004-3	0	0	30139564	32760682	30139564	32760682	0	0
EvoImmunoPop	EUB004	EUB004-2	727	727	37764019	42496269	37764746	42496996	1.9250758366e-05	1.71070915224e-05
EvoImmunoPop	EUB004	EUB004-1	309	309	29280926	32446387	29281235	32446696	1.0552833581e-05	9.523311711e-06
EvoImmunoPop	AFB057	AFB057-1	1	1	28363453	31908432	28363454	31908433	3.52566369385e-08	3.13396775078e-08
EvoImmunoPop	AFB057	AFB057-2	1	1	28331542	31530446	28331543	31530447	3.5296347961e-08	3.17153765692e-08
EvoImmunoPop	AFB057	AFB057-3	1134	1134	36526463	41645905	36527597	41647039	3.10450205635e-05	2.72288265199e-05
EvoImmunoPop	AFB057	AFB057-4	0	0	29267147	32046589	29267147	32046589	0	0
EvoImmunoPop	AFB057	AFB057-5	1911078	1912549	28633177	33008932	30544255	34921481	0.0625675106497	0.0547671217037
EvoImmunoPop	AFB147	AFB147-4	2921	2926	45414288	50594560	45417209	50597486	6.43148283286e-05	5.78289601187e-05
EvoImmunoPop	AFB139	AFB139-1	147	147	30015201	33770185	30015348	33770332	4.89749444184e-06	4.35293321961e-06
EvoImmunoPop	AFB139	AFB139-3	1703	1703	28937674	32321890	28939377	32323593	5.88471548645e-05	5.26859746068e-05
EvoImmunoPop	AFB139	AFB139-2	0	0	54346035	61500635	54346035	61500635	0	0
EvoImmunoPop	AFB177	AFB177-3	215	215	31521836	34539197	31522051	34539412	6.82062217335e-06	6.22477302161e-06
EvoImmunoPop	AFB177	AFB177-2	1329	1329	34695550	38207359	34696879	38208688	3.8303156892e-05	3.47826651363e-05
EvoImmunoPop	AFB177	AFB177-1	128	128	34656752	38617604	34656880	38617732	3.69335035352e-06	3.31453954883e-06
EvoImmunoPop	EUB145	EUB145-3	873	874	35686914	39194751	35687787	39195625	2.44621500347e-05	2.22984070288e-05
EvoImmunoPop	EUB145	EUB145-2	225	225	37537963	41742409	37538188	41742634	5.99389613585e-06	5.39017255116e-06
EvoImmunoPop	EUB145	EUB145-1	297	297	33415651	38067154	33415948	38067451	8.88797169543e-06	7.80194082341e-06
EvoImmunoPop	EUB145	EUB145-5	1514251	1515425	33906565	40517606	35420816	42033031	0.0427503138268	0.0360531934992
EvoImmunoPop	EUB145	EUB145-4	460	460	32199805	36088338	32200265	36088798	1.42855967179e-05	1.274633752e-05
EvoImmunoPop	AFB132	AFB132-2	122	123	29784217	33636881	29784339	33637004	4.0961123898e-06	3.65668714134e-06
EvoImmunoPop	AFB132	AFB132-3	399	399	29980003	32835130	29980402	32835529	1.33086941262e-05	1.21514716574e-05
EvoImmunoPop	AFB200	AFB200-4	599	599	34328319	38628709	34328918	38629308	1.74488458972e-05	1.55063611287e-05
EvoImmunoPop	AFB132	AFB132-1	223	223	29756110	33904620	29756333	33904843	7.49420299874e-06	6.57723145923e-06
EvoImmunoPop	AFB200	AFB200-2	268	268	32569720	36066362	32569988	36066630	8.2284341032e-06	7.43069147298e-06
EvoImmunoPop	AFB165	AFB165-5	2282227	2283888	31667789	41118328	33950016	43402216	0.0672231494677	0.0526214606185
EvoImmunoPop	AFB132	AFB132-4	305	305	30278119	33505581	30278424	33505886	1.00731795023e-05	9.10287822265e-06
EvoImmunoPop	AFB200	AFB200-1	273	273	35129582	39316907	35129855	39317180	7.77116785708e-06	6.94352952068e-06
EvoImmunoPop	AFB131	AFB131-1	137	137	28490849	33210873	28490986	33211010	4.80853839176e-06	4.12513801899e-06
EvoImmunoPop	EUB166	EUB166-2	266	266	38758604	42335714	38758870	42335980	6.86294517874e-06	6.28307175126e-06
EvoImmunoPop	AFB131	AFB131-3	1863	1864	40700972	44957538	40702835	44959402	4.57707675645e-05	4.14596261756e-05
EvoImmunoPop	AFB203	AFB203-1	183	183	34369999	38490045	34370182	38490228	5.32438262911e-06	4.75445351999e-06
EvoImmunoPop	AFB131	AFB131-4	215	215	29899828	33436488	29900043	33436703	7.19062511047e-06	6.43005980584e-06
EvoImmunoPop	AFB203	AFB203-3	431	431	33242032	36172527	33242463	36172958	1.29653449565e-05	1.19149780341e-05
EvoImmunoPop	AFB203	AFB203-2	677	678	33063472	36030319	33064149	36030997	2.04753492975e-05	1.88171312606e-05
EvoImmunoPop	EUB085	EUB085-2	917	917	30606861	41111714	30607778	41112631	2.99597050135e-05	2.2304580799e-05
EvoImmunoPop	EUB085	EUB085-3	74	74	32361061	36431538	32361135	36431612	2.28669359094e-06	2.03120301127e-06
EvoImmunoPop	AFB155	AFB155-5	716008	716439	33597707	39652484	34313715	40368923	0.0208665252363	0.0177472904095
EvoImmunoPop	EUB085	EUB085-1	471	471	44066799	51185100	44067270	51185571	1.06882046471e-05	9.20181197158e-06
EvoImmunoPop	AFB155	AFB155-3	1768	1773	30277402	33746121	30279170	33747894	5.8389975683e-05	5.25366116179e-05
EvoImmunoPop	AFB155	AFB155-2	392	392	32667893	36458929	32668285	36459321	1.19994055397e-05	1.07517087331e-05
EvoImmunoPop	AFB155	AFB155-1	1696	1697	30030254	33433448	30031950	33435145	5.64731893866e-05	5.07549765374e-05
EvoImmunoPop	AFB138	AFB138-3	365	365	31807672	35561377	31808037	35561742	1.14750872555e-05	1.02638391561e-05
EvoImmunoPop	AFB075	AFB075-4	1577	1579	38192495	41414932	38194072	41416511	4.12891298943e-05	3.81248917853e-05
EvoImmunoPop	AFB067	AFB067-5	1475274	1476389	27126605	30838130	28601879	32314519	0.0515796182482	0.0456881007574
