gene	CD16neg_CD16pos_logFC	CD16neg_CD16pos_AUC	CD16neg_CD16pos_pval	CD16neg_CD16pos_fdr	color	ens
FCGR3A	-2.40350864818881	0.00528208191055227	0	0	CD16+	ENSG00000203747
TMSB4X	-1.32586094693735	0.128246103611616	0	0	CD16+	ENSG00000205542
MS4A7	-1.70178190897864	0.141958004268228	0	0	CD16+	ENSG00000166927
LST1	-1.48128154998833	0.141915557934504	0	0	CD16+	ENSG00000204482
VIM	1.26915490995227	0.857699803490052	0	0	CD16-	ENSG00000026025
RPS19	-1.0503273219049	0.150791005355871	0	0	CD16+	ENSG00000105372
SPAG9	1.07346723203691	0.809926474160014	0	0	CD16-	ENSG00000008294
ADA	-1.15509003904994	0.202585479051404	0	0	CD16+	ENSG00000196839
FNIP2	1.22831013564949	0.788433709467221	0	0	CD16-	ENSG00000052795
LGALS3	1.29404998619405	0.790977328183332	0	0	CD16-	ENSG00000131981
CD109	1.04859160795483	0.787438128974862	0	0	CD16-	ENSG00000156535
LYZ	1.75412764242788	0.79046292179743	0	0	CD16-	ENSG00000090382
S100A9	1.89617119155565	0.787586170683763	0	0	CD16-	ENSG00000163220
FCER1G	-0.983332983190295	0.207577067660767	0	0	CD16+	ENSG00000158869
PTPRC	-0.947092800402454	0.218638366335069	0	0	CD16+	ENSG00000081237
TPT1	0.516786811011503	0.784301842240278	0	0	CD16-	ENSG00000133112
COTL1	-0.903034584814911	0.218063779452397	0	0	CD16+	ENSG00000103187
MT-CO2	-0.624406439063912	0.213262216255319	0	0	CD16+	ENSG00000198712
TIMP1	-1.15709877080668	0.220032541418138	0	0	CD16+	ENSG00000102265
SLC7A11	1.52693631039879	0.78222208754539	0	0	CD16-	ENSG00000151012
AIF1	-1.06836636966128	0.226084864292787	0	0	CD16+	ENSG00000204472
LYN	-0.979148258725161	0.219751416381339	0	0	CD16+	ENSG00000254087
SQSTM1	1.21119563140592	0.777208832415089	0	0	CD16-	ENSG00000161011
PECAM1	-0.880596981183834	0.231983825209622	0	0	CD16+	ENSG00000261371
NAP1L1	-0.909845583972364	0.224732171730233	0	0	CD16+	ENSG00000187109
POU2F2	-1.00770690768991	0.242073214643977	0	0	CD16+	ENSG00000028277
LHFPL2	0.999507239251027	0.770160042339929	0	0	CD16-	ENSG00000145685
CSTB	1.27701635489436	0.763876365742593	0	0	CD16-	ENSG00000160213
GAPDH	0.807047795972784	0.763789237028501	0	0	CD16-	ENSG00000111640
ASPH	0.869692893931735	0.7516771120887	0	0	CD16-	ENSG00000198363
CYP1B1	1.61307424606794	0.758707628265418	0	0	CD16-	ENSG00000138061
ATP13A3	0.828216938762994	0.753511441388051	0	0	CD16-	ENSG00000133657
PDE4DIP	0.914370338617085	0.750655431534642	0	0	CD16-	ENSG00000178104
ARL6IP5	-0.76293135771846	0.257529771418975	0	0	CD16+	ENSG00000144746
CTSB	0.967082029387789	0.751345945870091	0	0	CD16-	ENSG00000164733
S100A12	0.844069631667465	0.745693142846833	0	0	CD16-	ENSG00000163221
IFITM2	-0.846732313122878	0.253792065241981	0	0	CD16+	ENSG00000185201
PPIF	0.880665198270406	0.740305041483292	0	0	CD16-	ENSG00000108179
IL6R	0.76307875844848	0.74185882403377	0	0	CD16-	ENSG00000160712
CXCL16	-0.73293615988195	0.261592436857512	0	0	CD16+	ENSG00000161921
HMGA1	0.773489687174935	0.74158641186838	0	0	CD16-	ENSG00000137309
AC020656.1	1.12796780013939	0.740468735518707	0	0	CD16-	ENSG00000257764
SH3BP5	0.706420071876006	0.731718005526582	0	0	CD16-	ENSG00000131370
SAMSN1	-0.807154121547111	0.271232380916252	0	0	CD16+	ENSG00000155307
ZFYVE16	0.788074199785446	0.729599235672994	0	0	CD16-	ENSG00000039319
JARID2	0.668847071798822	0.724075776382382	0	0	CD16-	ENSG00000008083
RPLP1	0.508054497105311	0.734270144351461	0	0	CD16-	ENSG00000137818
CYTIP	-0.657587663909833	0.278816048769874	0	0	CD16+	ENSG00000115165
SDCBP	0.710657504826796	0.732090538608121	0	0	CD16-	ENSG00000137575
CCR1	0.849798830175645	0.730773121609016	0	0	CD16-	ENSG00000163823
EMP1	0.929114338415232	0.730397041694868	0	0	CD16-	ENSG00000134531
S100A8	1.2140230573858	0.725658087803846	0	0	CD16-	ENSG00000143546
ITGAL	-0.605463264594472	0.280129841831313	0	0	CD16+	ENSG00000005844
JPT1	-0.591056622406367	0.286868284053178	0	0	CD16+	ENSG00000189159
ANXA5	0.52766065929944	0.719866958308833	0	0	CD16-	ENSG00000164111
SGK1	0.817576513791875	0.714902510679436	0	0	CD16-	ENSG00000118515
ANXA1	0.951172098261822	0.722749607959339	0	0	CD16-	ENSG00000135046
GAPT	-0.697436002605409	0.29182486696679	0	0	CD16+	ENSG00000175857
GCLM	0.824603698093823	0.713515429261585	0	0	CD16-	ENSG00000023909
APLP2	0.661193432010337	0.713708770191308	0	0	CD16-	ENSG00000084234
AHNAK	0.798169547332169	0.716216226635819	0	0	CD16-	ENSG00000124942
TNFSF14	0.6003743007078	0.700521338130502	0	0	CD16-	ENSG00000125735
BRI3	0.556710572215325	0.707439396581995	0	0	CD16-	ENSG00000164713
MT-ATP6	-0.459184016128363	0.284099518571447	0	0	CD16+	ENSG00000198899
CSF3R	0.636881913902831	0.704833862505338	0	0	CD16-	ENSG00000119535
TXN	0.920691769334124	0.712074836934371	0	0	CD16-	ENSG00000136810
SEMA6B	0.599115955861199	0.702920847495605	0	0	CD16-	ENSG00000167680
GRN	0.721169907985574	0.711735227712051	0	0	CD16-	ENSG00000030582
ZMIZ1	0.621296324461638	0.702858469504719	0	0	CD16-	ENSG00000108175
NFKBIZ	-0.653547369561062	0.305180927786642	0	0	CD16+	ENSG00000144802
C3AR1	-0.578649538934266	0.29874581685791	0	0	CD16+	ENSG00000171860
SEC22B	0.622025359267941	0.705576191438902	0	0	CD16-	ENSG00000265808
VASP	-0.658779554895758	0.293491107242493	0	0	CD16+	ENSG00000125753
CST3	-0.697975024462251	0.294051815214956	0	0	CD16+	ENSG00000101439
ATP1B3	-0.645000811880768	0.295815593387409	0	0	CD16+	ENSG00000069849
ACTN1	0.515173430497117	0.696936454175925	0	0	CD16-	ENSG00000072110
DNTTIP2	0.657909208094164	0.701661914682021	0	0	CD16-	ENSG00000067334
ARL8B	0.59165279939106	0.702485396687783	0	0	CD16-	ENSG00000134108
TPM4	0.668359936877716	0.699009924808691	0	0	CD16-	ENSG00000167460
VEGFA	0.573105374352544	0.689050033317095	0	0	CD16-	ENSG00000112715
YWHAZ	0.509908322167112	0.702522561325121	0	0	CD16-	ENSG00000164924
RB1CC1	0.634428456432575	0.69765996947565	0	0	CD16-	ENSG00000023287
CD63	0.692345938038063	0.696673294617342	0	0	CD16-	ENSG00000135404
LMO2	-0.54622568601694	0.308762766091478	0	0	CD16+	ENSG00000135363
PHACTR1	0.626968956630165	0.69242272415558	0	0	CD16-	ENSG00000112137
MT-ND3	-0.470494980094405	0.299184428973058	0	0	CD16+	ENSG00000198840
ACTB	-0.599416164869621	0.30267493633821	0	0	CD16+	ENSG00000075624
FGL2	-0.692322379898477	0.302910723601657	0	0	CD16+	ENSG00000127951
ARHGDIB	-0.555044360958549	0.31451044688703	0	0	CD16+	ENSG00000111348
MGST1	0.61487563005606	0.692744869082553	0	0	CD16-	ENSG00000008394
SPN	-0.521561608777144	0.313599527746949	0	0	CD16+	ENSG00000197471
EIF5	0.569202552728651	0.687419531235181	0	0	CD16-	ENSG00000100664
GMFG	-0.544949592524426	0.313928650681555	0	0	CD16+	ENSG00000130755
NEAT1	0.473758405708338	0.684611365069466	0	0	CD16-	ENSG00000245532
CEBPB	0.583932959658671	0.679196932329055	0	0	CD16-	ENSG00000172216
PRELID1	-0.584203857022305	0.308993849946466	0	0	CD16+	ENSG00000169230
