.id	category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	FDR	FoldEnrich	Pvalue	nbInGrp	nbInBckgd	OR	CI	lowerCI	genes
CD16neg	GO:0033180	3.73532943293829e-05	1	4	4	proton-transporting V-type ATPase, V1 domain	CC	0.00267970650159615	14.6041131105398	3.73532943293829e-05	389	5681	Inf	[9-Inf]	9.02793884045691	ATP6V1A,ATP6V1F,ATP6V1B2,ATP6V1H
CD16pos	GO:0002767	0.000113397578806652	1	3	3	immune response-inhibiting cell surface receptor signaling pathway	BP	0.00759274611978342	21.3571428571429	0.000113397578806652	266	5681	Inf	[8.5-Inf]	8.4522915915713	LYN,LILRB2,LILRB1
CD16pos	GO:0002774	0.000113397578806652	1	3	3	Fc receptor mediated inhibitory signaling pathway	BP	0.00759274611978342	21.3571428571429	0.000113397578806652	266	5681	Inf	[8.5-Inf]	8.4522915915713	LYN,LILRB2,LILRB1
CD16neg	GO:0050832	5.12914655526495e-06	0.999999880326305	6	8	defense response to fungus	BP	0.00049758550161701	10.9530848329049	5.12914655526495e-06	389	5681	41.3465044777959	[7.4-420.1]	7.36467177860713	S100A9,S100A12,S100A8,GAPDH,TGFB1,IL17RA
CD16neg	GO:0036499	5.37691882470391e-07	0.999999978051514	8	13	PERK-mediated unfolded protein response	BP	6.60471309446004e-05	8.98714652956298	5.37691882470391e-07	389	5681	22.1805994415898	[6.4-86.6]	6.35878389553815	PPP1R15B,ATF3,NFE2L2,CXCL8,HSPA5,CCL2,PPP1R15A,ATF4
CD16pos	GO:0010649	8.68794508627193e-05	0.999998207986883	4	6	regulation of cell communication by electrical coupling	BP	0.00618074893345862	14.2380952380952	8.68794508627193e-05	266	5681	41.2188912289386	[5.9-455.7]	5.87739459007398	SLC8A1,CALM2,SRI,CALM1
CD16pos	GO:0001821	8.76292217443463e-05	0.999998188391266	4	6	histamine secretion	BP	0.00618256748786351	14.2380952380952	8.76292217443463e-05	266	5681	41.2188912289386	[5.9-455.7]	5.87739459007398	LYN,SNAP23,ADA,BTK
CD16pos	GO:0051608	8.76292217443463e-05	0.999998188391266	4	6	histamine transport	BP	0.00618256748786351	14.2380952380952	8.76292217443463e-05	266	5681	41.2188912289386	[5.9-455.7]	5.87739459007398	LYN,SNAP23,ADA,BTK
CD16neg	GO:0045545	0.000393389036592611	1	3	3	syndecan binding	MF	0.0180073040503545	14.6041131105398	0.000393389036592611	389	5681	Inf	[5.6-Inf]	5.63967768582786	HPSE,GPNMB,SDCBP
CD16neg	GO:0016668	0.000411751878295373	1	3	3	oxidoreductase activity, acting on a sulfur group of donors, NAD(P) as acceptor	MF	0.0186478821485814	14.6041131105398	0.000411751878295373	389	5681	Inf	[5.6-Inf]	5.63967768582786	GSR,TXN,TXNRD1
CD16neg	GO:2001046	0.000436684837413563	1	3	3	positive regulation of integrin-mediated signaling pathway	BP	0.0194672504281963	14.6041131105398	0.000436684837413563	389	5681	Inf	[5.6-Inf]	5.63967768582786	LIMS1,CD63,FLNA
CD16neg	GO:1903587	0.000457427317660915	1	3	3	regulation of blood vessel endothelial cell proliferation involved in sprouting angiogenesis	BP	0.0201078385411894	14.6041131105398	0.000457427317660915	389	5681	Inf	[5.6-Inf]	5.63967768582786	VEGFA,THBS1,HMOX1
CD16pos	GO:0070069	3.82221510228635e-05	0.999998650581646	5	9	cytochrome complex	CC	0.00315268119113223	11.8650793650794	3.82221510228635e-05	266	5681	25.8625085263465	[5.5-131.1]	5.5312954123875	NDUFA4,UQCRB,MT-CO2,MT-CO3,MT-CYB
CD16neg	GO:0072537	0.000121453781024483	0.999998177160754	4	5	fibroblast activation	BP	0.00695873106446985	11.6832904884319	0.000121453781024483	389	5681	54.9435284076125	[5.4-2659.4]	5.41190166040218	GCLM,GCLC,RGCC,IL17RA
CD16neg	GO:0050542	0.00015400106906661	0.999997535685536	4	5	icosanoid binding	MF	0.00848198146207518	11.6832904884319	0.00015400106906661	389	5681	54.9435284076125	[5.4-2659.4]	5.41190166040218	S100A9,S100A8,PPARG,STX3
CD16neg	GO:0050543	0.00015400106906661	0.999997535685536	4	5	icosatetraenoic acid binding	MF	0.00848198146207518	11.6832904884319	0.00015400106906661	389	5681	54.9435284076125	[5.4-2659.4]	5.41190166040218	S100A9,S100A8,PPARG,STX3
CD16neg	GO:0050544	0.00015400106906661	0.999997535685536	4	5	arachidonic acid binding	MF	0.00848198146207518	11.6832904884319	0.00015400106906661	389	5681	54.9435284076125	[5.4-2659.4]	5.41190166040218	S100A9,S100A8,PPARG,STX3
CD16neg	GO:0033178	0.000155993574244943	0.999997495101777	4	5	proton-transporting two-sector ATPase complex, catalytic domain	CC	0.00856409738475294	11.6832904884319	0.000155993574244943	389	5681	54.9435284076125	[5.4-2659.4]	5.41190166040218	ATP6V1A,ATP6V1F,ATP6V1B2,ATP6V1H
CD16pos	GO:0002765	0.000446089805680093	0.999994402291862	3	4	immune response-inhibiting signal transduction	BP	0.0225341341484672	16.0178571428571	0.000446089805680093	266	5681	61.5315655586723	[4.9-3167.1]	4.92584628435164	LYN,LILRB2,LILRB1
CD16pos	GO:0002349	0.000500754192780719	0.999993456220354	3	4	histamine production involved in inflammatory response	BP	0.0246394152378617	16.0178571428571	0.000500754192780719	266	5681	61.5315655586723	[4.9-3167.1]	4.92584628435164	LYN,SNAP23,BTK
CD16pos	GO:0002441	0.000500754192780719	0.999993456220354	3	4	histamine secretion involved in inflammatory response	BP	0.0246394152378617	16.0178571428571	0.000500754192780719	266	5681	61.5315655586723	[4.9-3167.1]	4.92584628435164	LYN,SNAP23,BTK
CD16pos	GO:0002553	0.000500754192780719	0.999993456220354	3	4	histamine secretion by mast cell	BP	0.0246394152378617	16.0178571428571	0.000500754192780719	266	5681	61.5315655586723	[4.9-3167.1]	4.92584628435164	LYN,SNAP23,BTK
CD16pos	GO:0002524	0.000543162293038122	0.999992696275341	3	4	hypersensitivity	BP	0.0261976073201494	16.0178571428571	0.000543162293038122	266	5681	61.5315655586723	[4.9-3167.1]	4.92584628435164	FCER1G,HLA-E,BTK
CD16pos	GO:0002864	0.000543162293038122	0.999992696275341	3	4	regulation of acute inflammatory response to antigenic stimulus	BP	0.0261976073201494	16.0178571428571	0.000543162293038122	266	5681	61.5315655586723	[4.9-3167.1]	4.92584628435164	FCER1G,HLA-E,BTK
CD16pos	GO:0002866	0.000543162293038122	0.999992696275341	3	4	positive regulation of acute inflammatory response to antigenic stimulus	BP	0.0261976073201494	16.0178571428571	0.000543162293038122	266	5681	61.5315655586723	[4.9-3167.1]	4.92584628435164	FCER1G,HLA-E,BTK
CD16pos	GO:0002883	0.000543162293038122	0.999992696275341	3	4	regulation of hypersensitivity	BP	0.0261976073201494	16.0178571428571	0.000543162293038122	266	5681	61.5315655586723	[4.9-3167.1]	4.92584628435164	FCER1G,HLA-E,BTK
CD16pos	GO:0002885	0.000543162293038122	0.999992696275341	3	4	positive regulation of hypersensitivity	BP	0.0261976073201494	16.0178571428571	0.000543162293038122	266	5681	61.5315655586723	[4.9-3167.1]	4.92584628435164	FCER1G,HLA-E,BTK
CD16pos	GO:0042775	2.64253375413173e-07	0.999999976188847	11	32	mitochondrial ATP synthesis coupled electron transport	BP	5.12711605886876e-05	7.34151785714286	2.64253375413173e-07	266	5681	11.0669254783652	[4.8-24.3]	4.76413128493742	NDUFC1,NDUFA4,UQCRB,BID,MT-ND2,MT-CO2,MT-CO3,MT-ND3,MT-ND5,MT-ND6,MT-CYB
CD16pos	GO:0042773	3.79218797290476e-07	0.999999964203154	11	33	ATP synthesis coupled electron transport	BP	7.11514477465668e-05	7.11904761904762	3.79218797290476e-07	266	5681	10.5623958759527	[4.6-23]	4.57230599404024	NDUFC1,NDUFA4,UQCRB,BID,MT-ND2,MT-CO2,MT-CO3,MT-ND3,MT-ND5,MT-ND6,MT-CYB
CD16pos	GO:0051279	1.96914159482242e-06	0.999999838742409	9	25	regulation of release of sequestered calcium ion into cytosol	BP	0.000264733256614157	7.68857142857143	1.96914159482242e-06	266	5681	11.8016660536178	[4.6-28.7]	4.55034770516671	SLC8A1,CALM2,CXCL10,SRI,LYN,PTPN6,CALM1,CORO1A,CYBA
CD16neg	GO:0048146	2.15564946380697e-06	0.999999840028306	9	19	positive regulation of fibroblast proliferation	BP	0.000244989832421943	6.91773778920308	2.15564946380697e-06	389	5681	12.4959040886619	[4.5-34.4]	4.46398199012567	JUN,FOSL2,EREG,CD74,CDKN1A,ZMIZ1,ANXA2,SPHK1,TGFB1
CD16pos	GO:0038094	1.93552536265191e-08	0.999999997770774	15	52	Fc-gamma receptor signaling pathway	BP	6.22983818700949e-06	6.16071428571429	1.93552536265191e-08	266	5681	8.67856764453966	[4.4-16.5]	4.36409407921179	FCER1G,FCGR3A,ARPC5,PTPRC,ARPC2,CD47,ACTB,MYO1G,LYN,PAK1,NCKAP1L,ARPC3,GRB2,HCK,WAS
CD16pos	GO:0002431	2.48713655793799e-08	0.999999997066789	15	53	Fc receptor mediated stimulatory signaling pathway	BP	7.72097628913332e-06	6.044474393531	2.48713655793799e-08	266	5681	8.44898582833451	[4.3-16]	4.2580293259304	FCER1G,FCGR3A,ARPC5,PTPRC,ARPC2,CD47,ACTB,MYO1G,LYN,PAK1,NCKAP1L,ARPC3,GRB2,HCK,WAS
