TF	PctBinding	PctBindingBackground	LowerCI	OR	UpperCI	alpha	P	FDR
PRDM1	0.185185185185185	0.057093048594465	2.45844473632361	4.0418855723761	6.42885911272132	0.05	1.01018241878766e-07	3.80502044410019e-06
STAT3	0.259259259259259	0.0904336456744389	2.44034492056402	3.75032450023411	5.6517821316535	0.05	4.29966918875634e-09	4.85862618329466e-07
JUNB	0.0296296296296296	0.00457616038352582	1.9219271839741	7.96050055774811	24.8649981246434	0.05	0.00290434205642776	0.0298355138523942
IRF1	0.407407407407407	0.206580954456309	1.8925759390701	2.74091271210777	3.94505993455065	0.05	6.4294408786755e-08	3.63263409645166e-06
STAT2	0.37037037037037	0.192852473305731	1.74558691103766	2.54879970127003	3.68892930271988	0.05	1.1206425613519e-06	3.16581523581913e-05
STAT1	0.37037037037037	0.210067552843757	1.56082448189581	2.27779864597149	3.29480786818839	0.05	1.3690335920028e-05	0.000257834659827194
IRF2	0.437037037037037	0.263891915449989	1.54519608447778	2.22475006384613	3.19006120493581	0.05	1.02659331662605e-05	0.000232010089557487
IRF7	0.392592592592593	0.235563303551972	1.48408705697047	2.15366422699629	3.10279277424009	0.05	4.73842395689607e-05	0.000764917010184651
ETV7	0.111111111111111	0.0464153410329048	1.43071541475466	2.68603689480631	4.71824095548677	0.05	0.0013177742948113	0.0186135619142096
IRF9	0.192592592592593	0.104380039224232	1.30289181658186	2.1063260136626	3.29673845638073	0.05	0.00154881259253497	0.0194462025507169
CUX1	0.0148148148148148	0.00174329919372412	1.08890358634674	11.1279513792956	62.9832517230508	0.05	0.021413615029491	0.18613373064096
SMARCA5	0.037037037037037	0.0117672695576378	1.05714730453564	3.45590967005328	8.83185979867376	0.05	0.020399560072214	0.18613373064096
IKZF1	0.0740740740740741	0.0387884070603617	0.937707889975391	2.04051836882147	3.97351186696208	0.05	0.040143512792702	0.266836290916195
SPI1	0.185185185185185	0.141860971889301	0.854952810349387	1.38966270488271	2.18155331853662	0.05	0.166883777445962	0.673495244692632
SP2	0.00740740740740741	0.000217912399215515	0.845963474389332	Inf	Inf	0.05	0.0294181738940946	0.236937279145341
FOXO1	0.0444444444444444	0.020701677925474	0.800278436784669	2.28041595243769	5.29924546181164	0.05	0.0598098800220288	0.344537596441871
RELA	0.125925925925926	0.0969710176509043	0.756238915826963	1.35507488560696	2.29026607841168	0.05	0.238132806600828	0.840906473309176
XBP1	0.17037037037037	0.142296796687732	0.753092228430007	1.24642021874284	1.98353313888799	0.05	0.319397061137706	0.909808024151243
ELF1	0.348148148148148	0.329483547613859	0.743671187136499	1.08966800637129	1.57948026803248	0.05	0.642855130558612	1
FLI1	0.111111111111111	0.0869470472869906	0.711744657703754	1.3247752953312	2.30232400766836	0.05	0.280749080658304	0.891771900852622
IRF5	0.192592592592593	0.177162780562214	0.690324005303109	1.11143153525471	1.73122824252899	0.05	0.646996761697567	1
NFKB1	0.133333333333333	0.115057746785792	0.675492177211388	1.1896866279124	1.98415544530806	0.05	0.493132632310304	0.977613814930954
NFIL3	0.103703703703704	0.0841141860971889	0.667082480902931	1.26954343591261	2.24171600810466	0.05	0.428940063964117	0.957698128489196
ATF3	0.103703703703704	0.0867291348877751	0.644515322267564	1.22626581003908	2.16466596250692	0.05	0.438847343539876	0.957698128489196
ELF2	0.37037037037037	0.396818478971454	0.612185821723682	0.891153256510921	1.28568405083348	0.05	0.592288716394982	1
