category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	FDR	FoldEnrich	Pvalue	nbInGrp	nbInBckgd	OR	CI	lowerCI	genes
GO:0051607	4.23151092296773e-11	1	19	102	defense response to virus	BP	6.82458081656235e-07	6.3319535221496	4.23151092296773e-11	135	4589	8.61511409670412	[4.8-14.9]	4.77632948937632	ISG15,IFI6,IFI44L,ADAR,RSAD2,EIF2AK2,PLSCR1,NT5C3A,IFIT3,IFITM3,IRF7,TRIM22,OAS3,IRF9,BST2,MX2,MX1,APOBEC3A,TLR8
GO:0009615	2.75791308418439e-10	0.999999999966251	21	139	response to virus	BP	2.22398111108629e-06	5.13557154276579	2.75791308418439e-10	135	4589	6.76129128843553	[3.9-11.3]	3.89123098093953	ISG15,IFI6,IFI44L,IFI44,ADAR,RSAD2,EIF2AK2,PLSCR1,NT5C3A,IFIT3,IFITM3,IRF7,TRIM22,OAS3,IRF9,LGALS9,BST2,MX2,MX1,APOBEC3A,TLR8
GO:0060337	2.55479998141433e-08	0.999999997779115	12	52	type I interferon signaling pathway	BP	0.000103009535250626	7.84444444444444	2.55479998141433e-08	135	4589	10.748232678802	[5-21.5]	5.00596843208834	ISG15,IFI6,ADAR,RSAD2,IFIT3,IFITM3,IRF7,OAS3,IRF9,BST2,MX2,MX1
GO:0071357	2.55479998141433e-08	0.999999997779115	12	52	cellular response to type I interferon	BP	0.000103009535250626	7.84444444444444	2.55479998141433e-08	135	4589	10.748232678802	[5-21.5]	5.00596843208834	ISG15,IFI6,ADAR,RSAD2,IFIT3,IFITM3,IRF7,OAS3,IRF9,BST2,MX2,MX1
GO:0034340	4.70273188979952e-08	0.999999995632844	12	55	response to type I interferon	BP	0.000151691319837373	7.41656565656566	4.70273188979952e-08	135	4589	9.99296408659589	[4.7-19.9]	4.67727313390241	ISG15,IFI6,ADAR,RSAD2,IFIT3,IFITM3,IRF7,OAS3,IRF9,BST2,MX2,MX1
GO:0043901	6.17285500194816e-08	0.999999993305307	13	67	negative regulation of multi-organism process	BP	0.000165926342452367	6.59557766721946	6.17285500194816e-08	135	4589	8.67136170543221	[4.2-16.6]	4.22671664534861	ISG15,RSAD2,EIF2AK2,PLSCR1,TRIB1,IFITM3,ARHGDIB,OAS3,BST2,ZFP36,MX1,APOBEC3A,TIMP1
GO:0045069	1.05849889367972e-07	0.999999990712482	11	49	regulation of viral genome replication	BP	0.000243878145103808	7.63099017384732	1.05849889367972e-07	135	4589	10.2961387695016	[4.6-21.2]	4.63311161857928	ISG15,ADAR,RSAD2,EIF2AK2,PLSCR1,IFITM3,DDB1,OAS3,BST2,MX1,APOBEC3A
GO:0045071	1.36637600678015e-07	0.999999991697304	9	30	negative regulation of viral genome replication	BP	0.000275461402966877	10.1977777777778	1.36637600678015e-07	135	4589	15.0440762446382	[5.9-35.1]	5.94244748333301	ISG15,RSAD2,EIF2AK2,PLSCR1,IFITM3,OAS3,BST2,MX1,APOBEC3A
GO:0098542	2.69293601386253e-07	0.999999947388632	19	166	defense response to other organism	BP	0.000482574133684166	3.89071842927265	2.69293601386253e-07	135	4589	4.79520697714869	[2.7-8.1]	2.71120350786295	ISG15,IFI6,IFI44L,ADAR,RSAD2,EIF2AK2,PLSCR1,NT5C3A,IFIT3,IFITM3,IRF7,TRIM22,OAS3,IRF9,BST2,MX2,MX1,APOBEC3A,TLR8
GO:1903900	3.68466468335192e-07	0.999999957252472	12	67	regulation of viral life cycle	BP	0.000594262720130997	6.08822553897181	3.68466468335192e-07	135	4589	7.79479780183565	[3.7-15.2]	3.70227363070828	ISG15,ADAR,RSAD2,EIF2AK2,PLSCR1,IFITM3,DDB1,OAS3,LGALS9,BST2,MX1,APOBEC3A
GO:0035455	4.11490523037029e-07	0.999999990067222	6	12	response to interferon-alpha	BP	0.000603319923231019	16.9962962962963	4.11490523037029e-07	135	4589	34.3681553045068	[9.1-130.2]	9.05211235162677	ADAR,EIF2AK2,IFIT3,IFITM3,BST2,MX2
GO:0048525	5.37083823645727e-07	0.9999999513028	10	46	negative regulation of viral process	BP	0.000721840658979857	7.38969404186795	5.37083823645727e-07	135	4589	9.80262044061882	[4.2-20.7]	4.24138674619733	ISG15,RSAD2,EIF2AK2,PLSCR1,IFITM3,OAS3,BST2,ZFP36,MX1,APOBEC3A
GO:1903901	1.20822218308803e-06	0.999999898721867	9	39	negative regulation of viral life cycle	BP	0.00137551811024796	7.84444444444444	1.20822218308803e-06	135	4589	10.516654237839	[4.3-23.3]	4.29903874996549	ISG15,RSAD2,EIF2AK2,PLSCR1,IFITM3,OAS3,BST2,MX1,APOBEC3A
GO:0043207	1.27931371860859e-06	0.999999634864601	27	338	response to external biotic stimulus	BP	0.00137551811024796	2.71538461538462	1.27931371860859e-06	135	4589	3.32898399552447	[2.1-5.2]	2.0653951225869	ISG15,IFI6,IFI44L,IFI44,ADAR,RSAD2,EIF2AK2,PLSCR1,FAM46A,HDAC2,NT5C3A,TRIB1,IFIT3,IFITM3,IRF7,TRIM22,OAS3,IRF9,B2M,MT2A,LGALS9,BST2,ZFP36,MX2,MX1,APOBEC3A,TLR8
GO:0051707	1.27931371860859e-06	0.999999634864601	27	338	response to other organism	BP	0.00137551811024796	2.71538461538462	1.27931371860859e-06	135	4589	3.32898399552447	[2.1-5.2]	2.0653951225869	ISG15,IFI6,IFI44L,IFI44,ADAR,RSAD2,EIF2AK2,PLSCR1,FAM46A,HDAC2,NT5C3A,TRIB1,IFIT3,IFITM3,IRF7,TRIM22,OAS3,IRF9,B2M,MT2A,LGALS9,BST2,ZFP36,MX2,MX1,APOBEC3A,TLR8
