category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	FDR	FoldEnrich	Pvalue	nbInGrp	nbInBckgd	OR	CI	lowerCI	genes
GO:0051607	9.23764139282945e-19	1	25	102	defense response to virus	BP	1.48984680383553e-14	9.53182120305749	9.23764139282945e-19	118	4589	15.3106889157977	[8.9-25.6]	8.92038527770666	ISG15,IFI6,IFI44L,ADAR,RSAD2,EIF2AK2,PDE12,PARP9,PLSCR1,HERC5,NT5C3A,IFIT2,IFIT3,IFITM2,IFITM3,IRF7,TRIM22,OAS3,OAS2,PML,C19orf66,BST2,MX2,MX1,APOBEC3A
GO:0009615	2.11813985282749e-17	1	27	139	response to virus	BP	1.70806797732009e-13	7.55413973905621	2.11813985282749e-17	118	4589	11.5303474025519	[6.9-18.7]	6.92698596484514	ISG15,IFI6,IFI44L,IFI44,ADAR,RSAD2,EIF2AK2,PDE12,PARP9,PLSCR1,HERC5,NT5C3A,IFIT2,IFIT3,IFITM2,IFITM3,IRF7,TRIM22,OAS3,OAS2,PML,LGALS9,C19orf66,BST2,MX2,MX1,APOBEC3A
GO:0034340	8.384853653994e-15	1	17	55	response to type I interferon	BP	4.50769732438717e-11	12.0204930662558	8.384853653994e-15	118	4589	19.5849074247231	[10-37]	10.0117495512521	ISG15,IFI6,ADAR,RSAD2,IFIT2,IFIT3,IFITM2,IFITM3,IRF7,OAS3,OAS2,XAF1,IFI35,C19orf66,BST2,MX2,MX1
GO:0060337	6.04615249297381e-14	1	16	52	type I interferon signaling pathway	BP	1.95024694813363e-10	11.9661016949153	6.04615249297381e-14	118	4589	19.2753761984896	[9.7-37]	9.66069438069656	ISG15,IFI6,ADAR,RSAD2,IFIT2,IFIT3,IFITM2,IFITM3,IRF7,OAS3,OAS2,XAF1,IFI35,BST2,MX2,MX1
GO:0071357	6.04615249297381e-14	1	16	52	cellular response to type I interferon	BP	1.95024694813363e-10	11.9661016949153	6.04615249297381e-14	118	4589	19.2753761984896	[9.7-37]	9.66069438069656	ISG15,IFI6,ADAR,RSAD2,IFIT2,IFIT3,IFITM2,IFITM3,IRF7,OAS3,OAS2,XAF1,IFI35,BST2,MX2,MX1
GO:0098542	1.92608732037033e-13	1	25	166	defense response to other organism	BP	5.17732271715544e-10	5.85690218501123	1.92608732037033e-13	118	4589	8.24606094240853	[4.9-13.4]	4.92069154825032	ISG15,IFI6,IFI44L,ADAR,RSAD2,EIF2AK2,PDE12,PARP9,PLSCR1,HERC5,NT5C3A,IFIT2,IFIT3,IFITM2,IFITM3,IRF7,TRIM22,OAS3,OAS2,PML,C19orf66,BST2,MX2,MX1,APOBEC3A
GO:0035455	7.22321543100012e-13	1	9	12	response to interferon-alpha	BP	1.66422883530243e-09	29.1673728813559	7.22321543100012e-13	118	4589	122.138599871054	[30-703.4]	29.9618215232562	ADAR,EIF2AK2,PDE12,IFIT2,IFIT3,IFITM2,IFITM3,BST2,MX2
GO:0043207	4.72800329216706e-12	1	33	338	response to external biotic stimulus	BP	8.47258189956337e-09	3.79693611473273	4.72800329216706e-12	118	4589	5.29927507345252	[3.4-8.2]	3.37476995854059	ISG15,IFI6,IFI44L,IFI44,ADAR,RSAD2,EIF2AK2,PDE12,PARP9,PLSCR1,HERC5,FAM46A,NT5C3A,CHMP5,VIM,IFIT2,IFIT3,IFITM2,IFITM3,IRF7,TRIM22,OAS3,OAS2,PYGL,PML,MT2A,LGALS9,C19orf66,BST2,ZFP36,MX2,MX1,APOBEC3A
GO:0051707	4.72800329216706e-12	1	33	338	response to other organism	BP	8.47258189956337e-09	3.79693611473273	4.72800329216706e-12	118	4589	5.29927507345252	[3.4-8.2]	3.37476995854059	ISG15,IFI6,IFI44L,IFI44,ADAR,RSAD2,EIF2AK2,PDE12,PARP9,PLSCR1,HERC5,FAM46A,NT5C3A,CHMP5,VIM,IFIT2,IFIT3,IFITM2,IFITM3,IRF7,TRIM22,OAS3,OAS2,PYGL,PML,MT2A,LGALS9,C19orf66,BST2,ZFP36,MX2,MX1,APOBEC3A
GO:0009607	1.44044937667501e-11	1	33	352	response to biotic stimulus	BP	2.32315675470146e-08	3.64592161016949	1.44044937667501e-11	118	4589	5.04933804880614	[3.2-7.8]	3.21808560023844	ISG15,IFI6,IFI44L,IFI44,ADAR,RSAD2,EIF2AK2,PDE12,PARP9,PLSCR1,HERC5,FAM46A,NT5C3A,CHMP5,VIM,IFIT2,IFIT3,IFITM2,IFITM3,IRF7,TRIM22,OAS3,OAS2,PYGL,PML,MT2A,LGALS9,C19orf66,BST2,ZFP36,MX2,MX1,APOBEC3A
