.id	category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	FDR	FoldEnrich	Pvalue	nbInGrp	nbInBckgd	OR	CI	lowerCI	genes
nonclassicList	GO:0001775	4.17774094204492e-11	1	90	595	cell activation	BP	5.49038273513367e-07	2.00038747487468	4.17774094204492e-11	347	4589	2.59072894745848	[2-3.4]	1.97910093967848	TNFRSF1B,CDC42,C1QA,RUNX3,PRDX1,S100A11,FCER1G,ARPC5,PTPRC,RAB29,ZFP36L2,ITGA4,ACAA1,RHOA,FOXP1,NFKBIZ,CD47,CD86,TFRC,TLR1,PLAC8,PTGER4,MEF2C,DOCK2,PRELID1,RIPOR2,HLA-E,LST1,AIF1,HLA-DPA1,MB21D1,RNASET2,LFNG,ACTB,PPIA,IKZF1,LYN,PAG1,ITGB1,VSIR,TSPAN14,SPI1,FTH1,CTSC,UBASH3B,PTPN6,LRMP,BIN2,NCKAP1L,RAP1B,SELPLG,RHOF,GNG2,SERPINA1,PRKCB,SPN,ALDOA,CORO1A,ITGAL,COTL1,CYBA,LGALS9,JUP,CD79B,PECAM1,GRB2,TMC6,MYL12A,CFD,ZBTB7A,STXBP2,SLC44A2,LYL1,PKN1,ADGRE2,GMFG,POU2F2,C5AR1,FTL,LILRB2,LILRA5,LILRB1,ADA,SAMSN1,SOD1,HMOX1,RAC2,TIMP1,MSN,BTK
nonclassicList	GO:0071944	6.80851033622727e-11	1	145	1179	cell periphery	CC	5.49038273513367e-07	1.62645772683831	6.80851033622727e-11	347	4589	2.22662220354816	[1.8-2.8]	1.76557904851	TNFRSF1B,CDC42,CD52,SYTL1,PTP4A2,MACF1,GNG5,RHOC,CD48,FCER1G,FCGR3A,RGS2,PTPRC,RAB29,RHOB,CALM2,ANXA4,ST3GAL5,CYTIP,ITGA4,STK17B,ARPC2,LRRFIP1,MYD88,CX3CR1,NKTR,MAP4,RHOA,GNAI2,ARL6IP5,CD47,CD86,HEG1,CDV3,ATP1B3,TFRC,TLR1,PDLIM5,MARCH1,ING2,PTGER4,SNX18,ARRDC3,LNPEP,CSF1R,RIPOR2,HLA-E,LTB,AIF1,HLA-DPA1,FGD2,MB21D1,FAM26F,UTRN,SNX9,ACTB,FAM126A,MYO1G,SRI,PILRA,TES,MSR1,DOCK5,PLEKHA2,LYN,PAG1,LYPD2,LY6E,SLC2A6,ITGB1,VSIR,TSPAN14,MYOF,PIK3AP1,NEURL1,CTBP2,IFITM2,IFITM3,RASGRP2,CFL1,GRK2,ANKRD13D,SIDT2,IL10RA,PTPN6,M6PR,CLEC2B,LRMP,BIN2,GRASP,NCKAP1L,RAP1B,SELPLG,TESC,TAOK3,RHOF,GNG2,ARID4A,CALM1,PRKCB,SPN,CORO1A,ITGAL,SNX20,COTL1,CYBA,CXCL16,PFN1,SCIMP,JUP,CD79B,PECAM1,GRB2,SEPT9,TMC6,STXBP2,SLC44A2,PKN1,ADGRE2,RAB8A,GMFG,VASP,C5AR1,C5AR2,EMP3,RRAS,NKG7,SIGLEC10,LILRB2,LILRA5,LILRA1,LILRB1,DSTN,SNX5,HCK,ADA,RGS19,SAMSN1,SOD1,GRK3,HMOX1,RAC2,MSN,BTK,SEPT6
nonclassicList	GO:0006955	1.29288557876723e-10	1	112	828	immune response	BP	6.01960823158441e-07	1.78885965278648	1.29288557876723e-10	347	4589	2.34649597480772	[1.8-3]	1.83020725498568	ISG15,TNFRSF1B,CDC42,C1QA,HMGN2,PRDX1,S100A11,CD48,FCER1G,FCGR3A,ARPC5,PTPRC,RAB29,LYST,ITGA4,ARPC2,ACAA1,MYD88,CX3CR1,RHOA,FOXP1,NFKBIZ,CD47,CD86,TFRC,TLR1,PLAC8,ELF2,MARCH1,PTGER4,MAP3K1,MEF2C,CSF1R,CYFIP2,DOCK2,PRELID1,TRIM38,HLA-E,LTB,LST1,AIF1,PSMB8,PSMB9,HLA-DPA1,MB21D1,RNASET2,LFNG,ACTB,PPIA,MYO1G,PILRA,LYN,PAG1,ITGB1,TSPAN14,PIK3AP1,IFITM2,IFITM3,FTH1,CTSC,PTPN6,CLEC2B,LRMP,BIN2,NCKAP1L,RAP1B,ARPC3,OAS1,RHOF,PSME1,GCH1,CALM1,SERPINA1,EVL,PRKCB,SPN,ALDOA,CORO1A,ITGAL,MT2A,COTL1,CYBA,CXCL16,LGALS9,JUP,CD79B,PECAM1,GRB2,TMC6,CFD,STXBP2,SLC44A2,PKN1,ADGRE2,IFI30,GMFG,RPS19,POU2F2,C5AR1,C5AR2,FTL,SIGLEC10,LILRB2,LILRA5,LILRA1,LILRB1,HCK,ADA,SAMSN1,HMOX1,RAC2,BTK
nonclassicList	GO:0045321	1.49295839076994e-10	1	84	551	leukocyte activation	BP	6.01960823158441e-07	2.01611949978295	1.49295839076994e-10	347	4589	2.58109518882773	[2-3.4]	1.95754991225878	TNFRSF1B,CDC42,C1QA,RUNX3,PRDX1,S100A11,FCER1G,ARPC5,PTPRC,RAB29,ZFP36L2,ITGA4,ACAA1,RHOA,FOXP1,NFKBIZ,CD47,CD86,TFRC,TLR1,PLAC8,PTGER4,MEF2C,DOCK2,PRELID1,RIPOR2,HLA-E,LST1,AIF1,HLA-DPA1,MB21D1,RNASET2,LFNG,PPIA,IKZF1,LYN,PAG1,ITGB1,VSIR,TSPAN14,SPI1,FTH1,CTSC,PTPN6,LRMP,BIN2,NCKAP1L,RAP1B,SELPLG,RHOF,SERPINA1,PRKCB,SPN,ALDOA,CORO1A,ITGAL,COTL1,CYBA,LGALS9,JUP,CD79B,PECAM1,GRB2,TMC6,CFD,ZBTB7A,STXBP2,SLC44A2,LYL1,PKN1,ADGRE2,GMFG,POU2F2,C5AR1,FTL,LILRB2,LILRB1,ADA,SAMSN1,SOD1,HMOX1,RAC2,MSN,BTK
nonclassicList	GO:0046649	2.03888369041376e-10	1	53	279	lymphocyte activation	BP	6.57662323179864e-07	2.51223492712756	2.03888369041376e-10	347	4589	3.20218458075694	[2.3-4.4]	2.27489441621711	TNFRSF1B,CDC42,RUNX3,PRDX1,FCER1G,PTPRC,RAB29,ZFP36L2,ITGA4,RHOA,FOXP1,NFKBIZ,CD47,CD86,TFRC,PTGER4,MEF2C,DOCK2,PRELID1,RIPOR2,HLA-E,LST1,AIF1,HLA-DPA1,MB21D1,LFNG,IKZF1,LYN,PAG1,ITGB1,VSIR,SPI1,PTPN6,NCKAP1L,PRKCB,SPN,CORO1A,ITGAL,LGALS9,CD79B,GRB2,ZBTB7A,LYL1,PKN1,POU2F2,LILRB2,LILRB1,ADA,SAMSN1,SOD1,RAC2,MSN,BTK
nonclassicList	GO:0005886	8.24770811009338e-10	1	139	1150	plasma membrane	CC	1.99153203431158e-06	1.5984738754542	8.24770811009338e-10	347	4589	2.13530839340506	[1.7-2.7]	1.69018102725082	TNFRSF1B,CDC42,CD52,SYTL1,PTP4A2,MACF1,GNG5,RHOC,CD48,FCER1G,FCGR3A,RGS2,PTPRC,RAB29,RHOB,CALM2,ANXA4,ST3GAL5,ITGA4,STK17B,ARPC2,LRRFIP1,MYD88,CX3CR1,NKTR,MAP4,RHOA,GNAI2,ARL6IP5,CD47,CD86,HEG1,CDV3,ATP1B3,TFRC,TLR1,PDLIM5,MARCH1,ING2,PTGER4,SNX18,ARRDC3,LNPEP,CSF1R,RIPOR2,HLA-E,LTB,AIF1,HLA-DPA1,FGD2,MB21D1,FAM26F,UTRN,SNX9,ACTB,FAM126A,MYO1G,SRI,PILRA,TES,MSR1,DOCK5,PLEKHA2,LYN,PAG1,LYPD2,LY6E,SLC2A6,ITGB1,VSIR,TSPAN14,MYOF,PIK3AP1,NEURL1,IFITM2,IFITM3,RASGRP2,CFL1,GRK2,ANKRD13D,SIDT2,IL10RA,PTPN6,M6PR,CLEC2B,LRMP,BIN2,GRASP,NCKAP1L,RAP1B,SELPLG,TESC,TAOK3,RHOF,GNG2,ARID4A,CALM1,PRKCB,SPN,CORO1A,ITGAL,SNX20,COTL1,CYBA,CXCL16,SCIMP,JUP,CD79B,PECAM1,GRB2,TMC6,STXBP2,SLC44A2,PKN1,ADGRE2,RAB8A,VASP,C5AR1,C5AR2,EMP3,RRAS,NKG7,SIGLEC10,LILRB2,LILRA5,LILRA1,LILRB1,SNX5,HCK,ADA,RGS19,SAMSN1,SOD1,GRK3,HMOX1,RAC2,MSN,BTK,SEPT6
nonclassicList	GO:0005576	8.64380223225511e-10	1	122	950	extracellular region	CC	1.99153203431158e-06	1.69834066434097	8.64380223225511e-10	347	4589	2.23522222164362	[1.8-2.8]	1.75493729195929	ISG15,TNFRSF1B,CDC42,C1QA,CD52,HMGN2,SYTL1,YBX1,PRDX1,GNG5,RHOC,S100A11,S100A4,TPM3,CD48,FCGR3A,SFT2D2,ARPC5,PTPRC,BTG2,RAB29,RHOB,SRSF7,ANXA4,ITGA4,ARPC2,ACAA1,RHOA,GNAI2,CD47,CD86,HEG1,ATP1B3,PPM1L,TFRC,NAAA,PLAC8,H2AFZ,SNX18,LNPEP,CYFIP2,DOCK2,HLA-E,LTB,PSMB8,PSMB9,UTRN,SNX9,RNASET2,LFNG,ACTB,PPIA,MYO1G,SRI,PILRA,MSR1,LYN,LYPD2,LY6E,ITGB1,MYOF,FTH1,CFL1,CTSC,PTPN6,ARHGDIB,TUBA1A,BIN2,NCKAP1L,MYL6,RAP1B,ARPC3,OAS1,RHOF,PSME1,GNG2,CALM1,SERPINA1,WARS,CKB,PRKCB,SPN,ALDOA,CORO1A,ITGAL,COTL1,CXCL16,VMO1,PFN1,LGALS9,UNC119,JUP,CD79B,PECAM1,GRB2,TMC6,SYNGR2,MYL12A,CFD,STXBP2,SLC44A2,RAB8A,IFI30,GMFG,RPS19,VASP,FTL,RRAS,SIGLEC10,LILRB2,LILRA5,LILRB1,DSTN,ADA,YWHAB,SOD1,HMOX1,RAC2,TMSB4X,TIMP1,MSN,SH3BGRL
nonclassicList	GO:0002376	1.234529649811e-09	1	136	1124	immune system process	BP	2.48881177401898e-06	1.60015178397448	1.234529649811e-09	347	4589	2.12246768104381	[1.7-2.7]	1.67807624446348	ISG15,TNFRSF1B,CDC42,C1QA,RUNX3,HMGN2,PRDX1,S100A11,CD48,FCER1G,FCGR3A,ARPC5,PTPRC,RAB29,LYST,ZFP36L2,ITGA4,ARPC2,ACAA1,MYD88,CX3CR1,RHOA,FOXP1,NFKBIZ,CD47,CD86,ATP1B3,TFRC,TLR1,REST,PLAC8,ELF2,MARCH1,PTGER4,MAP3K1,MEF2C,LNPEP,CSF1R,CYFIP2,DOCK2,PRELID1,RIPOR2,TRIM38,HLA-E,LTB,LST1,AIF1,PSMB8,PSMB9,HLA-DPA1,MB21D1,RNASET2,LFNG,ACTB,PPIA,MYO1G,IKZF1,PILRA,LYN,PAG1,ITGB1,VSIR,TSPAN14,PIK3AP1,IFITM2,IFITM3,CDKN1C,LMO2,SPI1,FTH1,CTSC,UBASH3B,PTPN6,CLEC2B,LRMP,BIN2,NCKAP1L,RAP1B,SELPLG,ARPC3,OAS1,TESC,RHOF,PSME1,GCH1,ARID4A,CALM1,SERPINA1,EVL,PRKCB,SPN,ALDOA,CORO1A,ITGAL,MT2A,COTL1,CYBA,CXCL16,LGALS9,JUP,CD79B,PECAM1,GRB2,TMC6,CFD,ZBTB7A,STXBP2,SLC44A2,JUNB,LYL1,PKN1,ADGRE2,KLF2,IFI30,GMFG,RPS19,POU2F2,C5AR1,C5AR2,FTL,RRAS,SIGLEC10,LILRB2,LILRA5,LILRA1,LILRB1,HCK,ADA,STK4,SAMSN1,SOD1,HMOX1,RAC2,MSN,BTK,TSC22D3
nonclassicList	GO:0002682	1.80478137637543e-09	1	84	582	regulation of immune system process	BP	3.23416822646476e-06	1.90873169137526	1.80478137637543e-09	347	4589	2.40058836536072	[1.8-3.1]	1.82258231017631	ISG15,TNFRSF1B,CDC42,C1QA,RUNX3,CD48,FCER1G,FCGR3A,ARPC5,PTPRC,RAB29,ZFP36L2,ITGA4,ARPC2,MYD88,CX3CR1,RHOA,FOXP1,NFKBIZ,CD47,CD86,TFRC,TLR1,ELF2,PTGER4,MAP3K1,MEF2C,CYFIP2,PRELID1,RIPOR2,TRIM38,HLA-E,LST1,AIF1,PSMB8,PSMB9,HLA-DPA1,MB21D1,ACTB,MYO1G,PILRA,LYN,PAG1,ITGB1,VSIR,PIK3AP1,LMO2,SPI1,CTSC,UBASH3B,PTPN6,CLEC2B,NCKAP1L,ARPC3,TESC,PSME1,CALM1,PRKCB,SPN,CORO1A,ITGAL,CYBA,LGALS9,CD79B,GRB2,CFD,STXBP2,PKN1,ADGRE2,RPS19,C5AR1,C5AR2,LILRB2,LILRA1,LILRB1,HCK,ADA,SAMSN1,SOD1,HMOX1,RAC2,MSN,BTK,TSC22D3
nonclassicList	GO:1903561	4.13796170402423e-09	1	94	678	extracellular vesicle	CC	5.91322911032078e-06	1.83352460619044	4.13796170402423e-09	347	4589	2.32665895415622	[1.8-3]	1.78735496083787	CDC42,SYTL1,YBX1,PRDX1,GNG5,RHOC,S100A11,S100A4,TPM3,CD48,FCGR3A,SFT2D2,ARPC5,PTPRC,BTG2,RAB29,RHOB,SRSF7,ANXA4,ITGA4,ARPC2,RHOA,GNAI2,CD47,CD86,ATP1B3,PPM1L,TFRC,NAAA,H2AFZ,SNX18,CYFIP2,DOCK2,HLA-E,PSMB8,PSMB9,UTRN,SNX9,RNASET2,LFNG,ACTB,PPIA,MYO1G,SRI,PILRA,LYN,ITGB1,MYOF,FTH1,CFL1,CTSC,PTPN6,ARHGDIB,TUBA1A,NCKAP1L,MYL6,RAP1B,ARPC3,RHOF,PSME1,GNG2,SERPINA1,WARS,CKB,PRKCB,SPN,ALDOA,CORO1A,ITGAL,COTL1,VMO1,PFN1,JUP,CD79B,PECAM1,GRB2,TMC6,SYNGR2,MYL12A,CFD,STXBP2,SLC44A2,RAB8A,RPS19,VASP,FTL,RRAS,DSTN,YWHAB,SOD1,RAC2,TIMP1,MSN,SH3BGRL
