ens	gene	classical_nonclassical_pval	classical_nonclassical_fdr	classical_nonclassical_AUC	classical_nonclassical_logFC	upregulated_in	intermediate_nonclassical_pval	intermediate_nonclassical_fdr	intermediate_nonclassical_AUC	intermediate_nonclassical_logFC	intermediate_classical_pval	intermediate_classical_fdr	intermediate_classical_AUC	intermediate_classical_logFC	relative_classic	relative_nonclassic
ENSG00000129757	CDKN1C	0	0	0.0756151217563858	-1.55566468867139	nonclassical	6.95766261879413e-22	2.90261034160421e-19	0.261973584737849	-0.820905741957911	2.13297675673237e-207	4.89411516832245e-204	0.758059871306433	0.768744749637158	up	nonsig
ENSG00000203747	FCGR3A	0	0	0.00557270831087979	-2.61083022508644	nonclassical	3.01422793221209e-28	2.76645839618425e-25	0.230577667096545	-0.84132207159959	1.80100270525002e-257	8.26480141439194e-254	0.915301126894878	1.77547288327797	up	nonsig
ENSG00000155366	RHOC	1.85583069202081e-286	2.8388023485612e-283	0.168173432319172	-0.849771804641895	nonclassical	8.83572226088518e-08	3.09520072177115e-06	0.368835327077867	-0.327875694099432	4.37664650954477e-136	2.86920440461434e-133	0.739114629805354	0.526426385772001	up	nonsig
ENSG00000007312	CD79B	4.60527064525683e-266	5.28339674777063e-263	0.276665314170148	-0.441366858607983	nonclassical	0.000169452326872378	0.00216004646671484	0.415706852848312	-0.170259904723107	5.69508832716385e-119	2.9038622592617e-116	0.632855099352755	0.262687666765156	up	nonsig
ENSG00000090382	LYZ	2.21333406717144e-244	2.03139800684999e-241	0.999163142779254	3.78483999265675	classical	3.74589793719846e-42	1.71899256338036e-38	0.83381509316494	1.47995552190566	5.25895687254896e-166	8.04445102937582e-163	0.0234584861746475	-2.30209908830546	down	up
ENSG00000204482	LST1	1.27570762469487e-228	9.75703714954084e-226	0.0178085752505817	-1.82088916936646	nonclassical	9.38100042559024e-34	1.43498036510112e-30	0.20480722195046	-0.595914335999319	1.15591229434624e-114	5.304481518755e-112	0.896381850713574	1.21600574198161	up	nonsig
ENSG00000163220	S100A9	8.22724597512682e-222	5.39354739712227e-219	0.976439616313644	3.56741085894016	classical	0.000463985512630423	0.00499819135554228	0.586205363098679	0.375284083607785	2.12253038353344e-157	2.43507298250875e-154	0.0352491018359842	-3.20839866950009	down	up
ENSG00000105372	RPS19	2.11548422885372e-217	1.21349464077622e-214	0.0299525146925501	-1.46881758228421	nonclassical	8.11685510423059e-25	5.32117829618774e-22	0.251923333481567	-0.449282869442049	1.05912243221689e-104	3.73870218572557e-102	0.880984416087168	1.01851871097267	up	nonsig
ENSG00000143546	S100A8	2.18830348240432e-216	1.11579163119484e-213	0.969874725009985	3.42950203717756	classical	3.53200294856476e-06	7.718267395697e-05	0.610552763819096	0.434506748397916	1.14927712698032e-146	1.05480654714256e-143	0.0507220719380987	-3.00981960850012	down	up
ENSG00000257764	AC020656.1	3.56785413075915e-216	1.63728826060541e-213	0.966118377257771	2.60806581044045	classical	3.25876943320048e-17	8.79676054644528e-15	0.701360786232045	0.681321677027711	4.20578585107238e-131	2.4125439088214e-128	0.0756912676269114	-1.86967463247405	down	up
ENSG00000038427	VCAN	1.49722814069081e-211	6.24616357966365e-209	0.962913594491958	2.55339649529362	classical	1.32725905255487e-09	7.25094260973129e-08	0.638190954773869	0.401260232686657	8.03605789917466e-137	6.14624494988548e-134	0.0672194919295065	-2.13578796996695	down	up
ENSG00000197353	LYPD2	9.62929460359946e-207	3.68240274465986e-204	0.358289007373219	-0.484711764154421	nonclassical	2.45108119046487e-14	4.12091624582499e-12	0.372126117312225	-0.416096770953526	1.72058887300318e-22	4.53780594150094e-21	0.528986738803046	0.0732100102199834	nonsig	nonsig
ENSG00000166165	CKB	7.20086062478549e-201	2.54190380054925e-198	0.335242149708685	-0.354533663823742	nonclassical	8.78534329080567e-09	4.11387146545992e-07	0.388446658069107	-0.244967689170421	1.52840424769029e-47	1.37526413581387e-45	0.565614363070706	0.112796025915336	nonsig	nonsig
