ens	gene	classical_nonclassical_pval	classical_nonclassical_fdr	classical_nonclassical_AUC	classical_nonclassical_logFC	upregulated_in	intermediate_nonclassical_pval	intermediate_nonclassical_fdr	intermediate_nonclassical_AUC	intermediate_nonclassical_logFC	intermediate_classical_pval	intermediate_classical_fdr	intermediate_classical_AUC	intermediate_classical_logFC	relative_classic	relative_nonclassic	classical_id_pval	classical_id_fdr	classical_fluCor_pval	classical_fluCor_cc	intermediate_id_pval	intermediate_id_fdr	intermediate_fluCor_pval	intermediate_fluCor_cc	nonclassical_id_pval	nonclassical_id_fdr	nonclassical_fluCor_pval	nonclassical_fluCor_cc	classical_mean	classical_sd	intermediate_mean	intermediate_sd	nonclassical_mean	nonclassical_sd
ENSG00000129757	CDKN1C	0	0	0.0756151217563858	-1.55566468867139	nonclassical	6.95766261879413e-22	2.90261034160421e-19	0.261973584737849	-0.820905741957911	2.13297675673237e-207	4.89411516832245e-204	0.758059871306433	0.768744749637158	up	nonsig	0.64453353761497	0.655969040611022	0.591005152739306	-0.225675903430873	0.237628103939484	0.546541347880338	0.712814351176766	0.155661925693316	6.32717476717782e-08	3.05635842174516e-06	0.457654859918577	-0.308213798324758	0.0472635325577932	0.00594125825045557	0.855489425077421	0.203915214205803	1.63364227519996	0.30074053216136
ENSG00000203747	FCGR3A	0	0	0.00557270831087979	-2.61083022508644	nonclassical	3.01422793221209e-28	2.76645839618425e-25	0.230577667096545	-0.84132207159959	1.80100270525002e-257	8.26480141439194e-254	0.915301126894878	1.77547288327797	up	nonsig	8.28425042538852e-08	2.47020306706354e-07	0.18008942818119	-0.526485188090586	0.000625959056351168	0.013912642086441	0.91963834023916	-0.042912203427092	0.13632804418413	0.420779037844394	0.330438113753653	-0.396776235177127	0.146147172697608	0.0399334853217622	2.01849947776916	0.366885981252399	2.76203409914644	0.120134947351331
ENSG00000155366	RHOC	1.85583069202081e-286	2.8388023485612e-283	0.168173432319172	-0.849771804641895	nonclassical	8.83572226088518e-08	3.09520072177115e-06	0.368835327077867	-0.327875694099432	4.37664650954477e-136	2.86920440461434e-133	0.739114629805354	0.526426385772001	up	nonsig	0.00178086654820611	0.00293548728078945	0.429488784932728	0.326793654297037	0.290130216994655	0.598654481019996	0.304063811994114	0.416978476965696	0.00373335423162484	0.04426967072074	0.851373817642061	-0.079602934074307	0.0767111564879354	0.0193965667338057	0.599189571539582	0.119163406552068	0.899080925539154	0.210562354747549
ENSG00000007312	CD79B	4.60527064525683e-266	5.28339674777063e-263	0.276665314170148	-0.441366858607983	nonclassical	0.000169452326872378	0.00216004646671484	0.415706852848312	-0.170259904723107	5.69508832716385e-119	2.9038622592617e-116	0.632855099352755	0.262687666765156	up	nonsig	0.0871958193803603	0.104040981574746	0.631911506082964	-0.20171911305218	0.250509976231779	0.560654464734073	0.603536249623906	0.21828187056113	0.192031096803919	0.499220395914391	0.380337226923639	0.360503761631656	0.0165325116558222	0.00647020698030938	0.275025330008986	0.0969708629052212	0.434967523319194	0.0938248293767241
ENSG00000090382	LYZ	2.21333406717144e-244	2.03139800684999e-241	0.999163142779254	3.78483999265675	classical	3.74589793719846e-42	1.71899256338036e-38	0.83381509316494	1.47995552190566	5.25895687254896e-166	8.04445102937582e-163	0.0234584861746475	-2.30209908830546	down	up	0	0	0.416195318156225	-0.335739175788426	7.50078245819016e-09	6.988234884209e-07	0.27732404119333	-0.438339398526623	1.23739874945297e-06	4.73201905103308e-05	0.118417578213689	-0.596664641671299	5.74068999359559	0.4244966583994	3.30845543543809	0.943467851528545	1.91150042655774	0.55012682397129
ENSG00000204482	LST1	1.27570762469487e-228	9.75703714954084e-226	0.0178085752505817	-1.82088916936646	nonclassical	9.38100042559024e-34	1.43498036510112e-30	0.20480722195046	-0.595914335999319	1.15591229434624e-114	5.304481518755e-112	0.896381850713574	1.21600574198161	up	nonsig	5.41034410744867e-20	3.64047934150762e-19	0.569935291614336	0.238227723473912	0.00543278018575003	0.0660301141139829	0.330847636274204	0.396468667854816	0.488799126703056	0.735517913256282	0.0618226080602936	0.683152780784682	1.98803898634892	0.111169581026167	3.25063985241286	0.249690401370704	3.80033422990911	0.0846435988060378
ENSG00000163220	S100A9	8.22724597512682e-222	5.39354739712227e-219	0.976439616313644	3.56741085894016	classical	0.000463985512630423	0.00499819135554228	0.586205363098679	0.375284083607785	2.12253038353344e-157	2.43507298250875e-154	0.0352491018359842	-3.20839866950009	down	up	1.71512495234795e-21	1.2473388916521e-20	0.255320296996543	-0.456688826714779	0.0128512980061713	0.116320722978935	0.534076737608732	-0.259967922648792	1.75487683077602e-05	0.000476516554818413	0.699488397238316	-0.163144594793098	5.44539531350154	0.169592123955964	2.18707416382803	0.316511058856629	1.80166465301663	0.338446076604627
ENSG00000105372	RPS19	2.11548422885372e-217	1.21349464077622e-214	0.0299525146925501	-1.46881758228421	nonclassical	8.11685510423059e-25	5.32117829618774e-22	0.251923333481567	-0.449282869442049	1.05912243221689e-104	3.73870218572557e-102	0.880984416087168	1.01851871097267	up	nonsig	1.26351463204677e-24	1.04851150930608e-23	0.995548630226466	-0.00237407279973641	0.000357654846694378	0.00887177346746218	0.350356724293267	0.382015827313939	0.00196534005574837	0.0274132082548002	0.214719922595055	-0.492779401422539	2.8950370534488	0.121570032176725	3.97980854941382	0.276162446737576	4.36481831469384	0.107254303650078
ENSG00000143546	S100A8	2.18830348240432e-216	1.11579163119484e-213	0.969874725009985	3.42950203717756	classical	3.53200294856476e-06	7.718267395697e-05	0.610552763819096	0.434506748397916	1.14927712698032e-146	1.05480654714256e-143	0.0507220719380987	-3.00981960850012	down	up	1.13560379215183e-29	1.13288821786625e-28	0.385875911435978	-0.356613886354688	0.00250798595632047	0.0378590380051139	0.231593685014114	-0.477389182787717	2.85884233609157e-06	9.79046826889866e-05	0.821030956552774	-0.0960390668115069	4.29391186941477	0.22404238335933	1.19083808390654	0.410657735890461	0.792030570468232	0.286692877924819
ENSG00000257764	AC020656.1	3.56785413075915e-216	1.63728826060541e-213	0.966118377257771	2.60806581044045	classical	3.25876943320048e-17	8.79676054644528e-15	0.701360786232045	0.681321677027711	4.20578585107238e-131	2.4125439088214e-128	0.0756912676269114	-1.86967463247405	down	up	0	0	0.361402339343834	-0.373996869834754	3.2374999563787e-18	9.28555456238867e-16	0.101670271368336	-0.61913563064	4.673123422412e-12	4.04621950668843e-10	0.250219560596518	-0.46105395909748	3.61347746504031	0.908822703001238	1.6823769001943	0.718077110850514	1.0793977781309	0.350952298648501
