TF	PctBinding	PctBindingBackground	LowerCI	OR	UpperCI	alpha	P	module_pre_reordering	FDR
SPI1	0.360655737704918	0.111111111111111	2.59254734632669	4.61869665195473	8.03671095313541	0.05	2.42170362033045e-07	1	7.06200023477009e-06
FLI1	0.213114754098361	0.0638776428250113	2.00180646872688	4.06121562058982	7.68998360509331	0.05	9.5716860042011e-05	1	0.00166400079765342
IRF1	0.864406779661017	0.196431249062828	12.7116057856531	27.0951864081718	66.1557293439791	0.05	1.72565681213864e-28	2	1.55999375817333e-25
IRF7	0.830508474576271	0.219073324336482	8.99245246849719	18.0280764270021	39.9999999999996	0.05	1.55495275058125e-23	2	2.34279547754242e-21
STAT1	0.779661016949153	0.201979307242465	7.63856545327962	14.4289561528462	29.2035795932519	0.05	1.49826480551398e-21	2	1.50492376020516e-19
IRF2	0.813559322033898	0.256110361373519	6.64140485942624	13.0059473410873	27.8412129295865	0.05	3.08424511496007e-19	2	2.32346465326992e-17
IRF9	0.525423728813559	0.0923676713150397	6.56239508604379	11.3936729919323	19.8599857411396	0.05	1.92739296377627e-17	2	9.67979577363192e-16
STAT2	0.694915254237288	0.183085919928025	5.86109014689291	10.4759677014122	19.4436910054629	0.05	7.01415486294895e-18	2	3.72987999770932e-16
STAT3	0.474576271186441	0.0859199280251912	5.75858764004616	10.0440399154496	17.4475443910142	0.05	3.30298882766045e-15	2	1.49295095010253e-13
ETV7	0.305084745762712	0.0458839406207827	5.13911689145543	9.62862202762238	17.3887434913934	0.05	5.80226823187115e-11	2	2.28054368765718e-09
IRF4	0.305084745762712	0.0523316839106313	4.44879770955028	8.32274777870324	15.0083783499852	0.05	5.07531429716664e-10	2	1.91170171859943e-08
RELA	0.355932203389831	0.0827710301394512	3.49827256026143	6.3223297942699	11.1470923748547	0.05	3.38283405599403e-09	2	1.13262295800689e-07
PRDM1	0.254237288135593	0.055930424351477	3.04517247074143	5.95013494468335	11.0239144644014	0.05	5.14643516175141e-07	2	1.45386793319477e-05
HIVEP2	0.135593220338983	0.0299895036737142	2.11818778672556	5.24053186050035	11.3302710193224	0.05	0.000338993605399512	2	0.00523105975593888
IRF8	0.338983050847458	0.121907332433648	2.06704842192079	3.76066193887825	6.6455718392214	0.05	1.10366416936569e-05	2	0.000237550573596806
IRF5	0.355932203389831	0.151596941070625	1.74076956462788	3.13640656646151	5.50849213280193	0.05	8.23633893768809e-05	2	0.00148913007993401
TAF1	0.0338983050847458	0.270655270655271	0.0110507832743099	0.0935643555086808	0.354491338302602	0.05	2.64805176079825e-06	2	6.64955219933784e-05
IRF7	0.859649122807018	0.219073324336482	10.55605069606	22.5564348178552	55.2866802125259	0.05	6.53776420056708e-25	3	2.95506941865632e-22
IRF1	0.824561403508772	0.196431249062828	9.88756741953567	19.8921839747031	44.3382782906905	0.05	1.68303542804645e-24	3	5.0715467565133e-22
IRF4	0.456140350877193	0.0523316839106313	9.18273291682343	16.3060132730081	28.783369780755	0.05	5.43468602209666e-19	3	3.50925440283956e-17
STAT3	0.543859649122807	0.0859199280251912	7.60229124617122	13.3409350526932	23.5702396043072	0.05	6.08562707201139e-19	3	3.66760458206553e-17
STAT1	0.771929824561403	0.201979307242465	7.26502401905967	13.7799539698707	27.9950685755522	0.05	2.34291103836359e-20	3	2.11799157868069e-18
STAT2	0.719298245614035	0.183085919928025	6.44900376109566	11.7896130839898	22.5861230874866	0.05	9.18951278045927e-19	3	5.19207472095949e-17
IRF2	0.789473684210526	0.256110361373519	5.7864954796779	11.1545177811892	23.2245485645188	0.05	3.72264440002401e-17	3	1.7711950198009e-15
IRF9	0.491228070175439	0.0923676713150397	5.62436271804248	9.88443634585343	17.3454448614744	0.05	6.91461089148856e-15	3	2.84127647541166e-13
IRF8	0.43859649122807	0.121907332433648	3.26084599933655	5.77151553558768	10.1089861849459	0.05	2.11061389940114e-09	3	7.33844217330244e-08
ATF5	0.0701754385964912	0.0067476383265857	3.03511718566186	12.0782495469505	35.1559515173221	0.05	0.000550605979869376	3	0.00802819041615993
ETV7	0.210526315789474	0.0458839406207827	2.72751393738851	5.72730073101196	11.1559898918406	0.05	7.72759077149681e-06	3	0.00017038395262032
RELA	0.298245614035088	0.0827710301394512	2.54700299168076	4.82545948901527	8.77627348952315	0.05	1.91149240036624e-06	3	5.08232097038554e-05
ELF1	0.543859649122807	0.260008996851102	1.96800785738736	3.43612120196611	6.04357726538196	0.05	5.149711404238e-06	3	0.000116383477735779
IRF5	0.368421052631579	0.151596941070625	1.82874725804195	3.31178471754323	5.85676094483245	0.05	4.58151628611603e-05	3	0.000900367548401932
ETV6	0.491228070175439	0.249062828010196	1.68182371854223	2.94326750520436	5.14339989656018	0.05	7.83633567030394e-05	3	0.0014457239685622
BCLAF1	0	0.244564402459139	0	0	0.204534434369279	0.05	1.71175963456258e-07	3	5.15810236548192e-06
TAF1	0	0.270655270655271	0	0	0.178323976251022	0.05	2.52694638262926e-08	3	7.87710182723052e-07
ZNF143	0	0.143499775078722	0	0	0.39597205768737	0.05	0.000210090862937092	3	0.00339146678741306
IRF4	0.192307692307692	0.0523316839106313	1.95466246207963	4.40745515113495	9.02383686266506	0.05	0.000298247719694554	4	0.00473010418603293
IRF8	0.326923076923077	0.121907332433648	1.85625795202054	3.55120635629026	6.54680977034421	0.05	8.45356194971448e-05	4	0.00149843529461606
IRF1	0.972222222222222	0.196431249062828	24.6515157606556	146.481539580587	5759.86996877188	0.05	3.70378083446878e-24	5	8.37054468589944e-22
STAT2	0.944444444444444	0.183085919928025	19.9403245602134	77.9363831704065	670.721255111133	0.05	2.50609259970748e-23	5	3.23643958590794e-21
