.id	category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	FDR	FoldEnrich	Pvalue	nbInGrp	nbInBckgd	OR	CI	lowerCI	genes
infected	GO:0006614	1.12801015478633e-102	1	75	81	SRP-dependent cotranslational protein targeting to membrane	BP	1.98495946937751e-98	39.8387096774194	1.12801015478633e-102	155	6669	1006.54080854142	[429-2848.3]	429.036766706097	RPL22,RPL11,RPS8,RPL5,RPS27,RPS7,RPS27A,RPL31,RPL37A,RPL32,RPL15,RPSA,RPL14,RPL29,RPL24,RPL35A,RPL9,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,RPS20,RPL7,RPL30,RPL8,RPS6,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS3,RPS25,RPS26,RPL41,RPL6,RPL21,RPS29,RN7SL2,RPL4,RPLP1,RPS17,RPS2,RPS15A,RPL13,RPL26,RPL23A,RPL23,RPL19,RPL27,RPL38,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPL18,RPL13A,RPS11,RPS9,RPL28,RPS5,RPS21,RPL3,RPS4X,RPL39,RPL10
infected	GO:0006613	1.15117282888283e-100	1	75	83	cotranslational protein targeting to membrane	BP	1.01285941349256e-96	38.8787407695297	1.15117282888283e-100	155	6669	756.487436782698	[347.3-1838.5]	347.276797148145	RPL22,RPL11,RPS8,RPL5,RPS27,RPS7,RPS27A,RPL31,RPL37A,RPL32,RPL15,RPSA,RPL14,RPL29,RPL24,RPL35A,RPL9,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,RPS20,RPL7,RPL30,RPL8,RPS6,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS3,RPS25,RPS26,RPL41,RPL6,RPL21,RPS29,RN7SL2,RPL4,RPLP1,RPS17,RPS2,RPS15A,RPL13,RPL26,RPL23A,RPL23,RPL19,RPL27,RPL38,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPL18,RPL13A,RPS11,RPS9,RPL28,RPS5,RPS21,RPL3,RPS4X,RPL39,RPL10
infected	GO:0045047	9.86430181158633e-99	1	75	86	protein targeting to ER	BP	5.78607063261616e-95	37.5225056264066	9.86430181158633e-99	155	6669	555.436389723292	[275.8-1235.9]	275.824915824899	RPL22,RPL11,RPS8,RPL5,RPS27,RPS7,RPS27A,RPL31,RPL37A,RPL32,RPL15,RPSA,RPL14,RPL29,RPL24,RPL35A,RPL9,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,RPS20,RPL7,RPL30,RPL8,RPS6,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS3,RPS25,RPS26,RPL41,RPL6,RPL21,RPS29,RN7SL2,RPL4,RPLP1,RPS17,RPS2,RPS15A,RPL13,RPL26,RPL23A,RPL23,RPL19,RPL27,RPL38,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPL18,RPL13A,RPS11,RPS9,RPL28,RPS5,RPS21,RPL3,RPS4X,RPL39,RPL10
infected	GO:0072599	6.77694478482233e-97	1	75	89	establishment of protein localization to endoplasmic reticulum	BP	2.98134743446296e-93	36.2577020659659	6.77694478482233e-97	155	6669	432.324628571982	[231.8-855.4]	231.753025128085	RPL22,RPL11,RPS8,RPL5,RPS27,RPS7,RPS27A,RPL31,RPL37A,RPL32,RPL15,RPSA,RPL14,RPL29,RPL24,RPL35A,RPL9,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,RPS20,RPL7,RPL30,RPL8,RPS6,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS3,RPS25,RPS26,RPL41,RPL6,RPL21,RPS29,RN7SL2,RPL4,RPLP1,RPS17,RPS2,RPS15A,RPL13,RPL26,RPL23A,RPL23,RPL19,RPL27,RPL38,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPL18,RPL13A,RPS11,RPS9,RPL28,RPS5,RPS21,RPL3,RPS4X,RPL39,RPL10
infected	GO:0022626	2.37482009175737e-95	1	75	92	cytosolic ribosome	CC	8.3579418309309e-92	35.0753856942496	2.37482009175737e-95	155	6669	357.673881018021	[196.7-659.6]	196.749966634286	RPL22,RPL11,RPS8,RPL5,RPS27,RPS7,RPS27A,RPL31,RPL37A,RPL32,RPL15,RPSA,RPL14,RPL29,RPL24,RPL35A,RPL9,RPL34,RPS3A,RPL37,RPS23,RPS14,RACK1,RPS18,RPL10A,RPS12,RPS20,RPL7,RPL30,RPL8,RPS6,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS3,RPS25,RPS26,RPL41,RPL6,RPL21,RPS29,RPL4,RPLP1,RPS17,RPS2,RPS15A,RPL13,RPL26,RPL23A,RPL23,RPL19,RPL27,RPL38,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPL18,RPL13A,RPS11,RPS9,RPL28,RPS5,RPS21,RPL3,RPS4X,RPL39,RPL10
infected	GO:0000184	3.80704337535711e-92	1	74	94	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	BP	1.11654237126932e-88	33.8713795470144	3.80704337535711e-92	155	6669	293.819250463476	[168.8-539]	168.764398213008	RPL22,RPL11,RPS8,RPL5,RPS27,RPS7,RPS27A,RPL31,RPL37A,RPL32,RPL15,RPSA,RPL14,RPL29,RPL24,RPL35A,RPL9,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,RPS20,RPL7,RPL30,RPL8,RPS6,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS3,RPS25,RPS26,RPL41,RPL6,RPL21,RPS29,RPL4,RPLP1,RPS17,RPS2,RPS15A,RPL13,RPL26,RPL23A,RPL23,RPL19,RPL27,RPL38,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPL18,RPL13A,RPS11,RPS9,RPL28,RPS5,RPS21,RPL3,RPS4X,RPL39,RPL10
infected	GO:0070972	1.32279685044327e-90	1	75	102	protein localization to endoplasmic reticulum	BP	3.32532231103575e-87	31.6366223908918	1.32279685044327e-90	155	6669	222.986009954795	[134.6-380.2]	134.58290590616	RPL22,RPL11,RPS8,RPL5,RPS27,RPS7,RPS27A,RPL31,RPL37A,RPL32,RPL15,RPSA,RPL14,RPL29,RPL24,RPL35A,RPL9,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,RPS20,RPL7,RPL30,RPL8,RPS6,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS3,RPS25,RPS26,RPL41,RPL6,RPL21,RPS29,RN7SL2,RPL4,RPLP1,RPS17,RPS2,RPS15A,RPL13,RPL26,RPL23A,RPL23,RPL19,RPL27,RPL38,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPL18,RPL13A,RPS11,RPS9,RPL28,RPS5,RPS21,RPL3,RPS4X,RPL39,RPL10
infected	GO:0003735	3.75549994482387e-87	1	74	102	structural constituent of ribosome	MF	8.26069156613319e-84	31.2148007590133	3.75549994482387e-87	155	6669	209.617950703348	[126.9-356.7]	126.87965993365	RPL22,RPL11,RPS8,RPL5,RPS27,RPS7,RPS27A,RPL31,RPL37A,RPL32,RPL15,RPSA,RPL14,RPL29,RPL24,RPL35A,RPL9,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,RPS20,RPL7,RPL30,RPL8,RPS6,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS3,RPS25,RPS26,RPL41,RPL6,RPL21,RPS29,RPL4,RPLP1,RPS17,RPS2,RPS15A,RPL13,RPL26,RPL23A,RPL23,RPL19,RPL27,RPL38,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPL18,RPL13A,RPS11,RPS9,RPL28,RPS5,RPS21,RPL3,RPS4X,RPL39,RPL10
infected	GO:0044391	7.56085065103778e-85	1	75	113	ribosomal subunit	CC	1.47831432118124e-81	28.5569511846988	7.56085065103778e-85	155	6669	158.372112219145	[99.9-257.4]	99.9265629939536	RPL22,RPL11,RPS8,RPL5,RPS27,RPS7,RPS27A,RPL31,RPL37A,RPL32,RPL15,RPSA,RPL14,RPL29,RPL24,RPL35A,RPL9,RPL34,RPS3A,RPL37,RPS23,RPS14,RACK1,RPS18,RPL10A,RPS12,RPS20,RPL7,RPL30,RPL8,RPS6,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS3,RPS25,RPS26,RPL41,RPL6,RPL21,RPS29,RPL4,RPLP1,RPS17,RPS2,RPS15A,RPL13,RPL26,RPL23A,RPL23,RPL19,RPL27,RPL38,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPL18,RPL13A,RPS11,RPS9,RPL28,RPS5,RPS21,RPL3,RPS4X,RPL39,RPL10
infected	GO:0005840	5.93961397106194e-82	1	76	129	ribosome	CC	1.04519387048777e-78	25.3485371342836	5.93961397106194e-82	155	6669	116.829415292218	[75.6-181.6]	75.5661620431061	RPL22,RPL11,RPS8,RPL5,RPS27,RPS7,RPS27A,RPL31,RPL37A,RPL32,RPL15,RPSA,RPL14,RPL29,RPL24,RPL35A,RPL9,RPL34,RPS3A,RPL37,BTF3,RPS23,RPS14,RACK1,RPS18,RPL10A,RPS12,RPS20,RPL7,RPL30,RPL8,RPS6,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS3,RPS25,RPS26,RPL41,RPL6,RPL21,RPS29,RPL4,RPLP1,RPS17,RPS2,RPS15A,RPL13,RPL26,RPL23A,RPL23,RPL19,RPL27,RPL38,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPL18,RPL13A,RPS11,RPS9,RPL28,RPS5,RPS21,RPL3,RPS4X,RPL39,RPL10
