.id	category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	FDR	FoldEnrich	Pvalue	nbInGrp	nbInBckgd	OR	CI	lowerCI	genes
high	GO:0006614	1.72751346116786e-81	1	60	81	SRP-dependent cotranslational protein targeting to membrane	BP	3.03990543761708e-77	48.4313725490196	1.72751346116786e-81	102	6669	440.656427989322	[238.7-846]	238.676793883298	RPL22,RPL11,RPS8,RPL5,RPS27,RPS7,RPS27A,RPL37A,RPL32,RPL15,RPL29,RPL24,RPL35A,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,RPS20,RPL30,RPL8,RPS6,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS3,RPL41,RPL6,RPL21,RPS29,RPLP1,RPS2,RPS15A,RPL13,RPL26,RPL19,RPL27,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPL18,RPL13A,RPS11,RPS9,RPS21,RPL3,RPS4X,RPL39,RPL10
high	GO:0006613	1.99661811115787e-80	1	60	83	cotranslational protein targeting to membrane	BP	1.75672444510225e-76	47.264351523742	1.99661811115787e-80	102	6669	397.124828148403	[222.6-757.9]	222.595193429234	RPL22,RPL11,RPS8,RPL5,RPS27,RPS7,RPS27A,RPL37A,RPL32,RPL15,RPL29,RPL24,RPL35A,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,RPS20,RPL30,RPL8,RPS6,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS3,RPL41,RPL6,RPL21,RPS29,RPLP1,RPS2,RPS15A,RPL13,RPL26,RPL19,RPL27,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPL18,RPL13A,RPS11,RPS9,RPS21,RPL3,RPS4X,RPL39,RPL10
high	GO:0045047	1.4949127981242e-79	1	60	86	protein targeting to ER	BP	8.76866016953052e-76	45.6155950752394	1.4949127981242e-79	102	6669	353.794545000309	[199.4-661.9]	199.411942838491	RPL22,RPL11,RPS8,RPL5,RPS27,RPS7,RPS27A,RPL37A,RPL32,RPL15,RPL29,RPL24,RPL35A,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,RPS20,RPL30,RPL8,RPS6,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS3,RPL41,RPL6,RPL21,RPS29,RPLP1,RPS2,RPS15A,RPL13,RPL26,RPL19,RPL27,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPL18,RPL13A,RPS11,RPS9,RPS21,RPL3,RPS4X,RPL39,RPL10
high	GO:0072599	1.25566797205325e-78	1	60	89	establishment of protein localization to endoplasmic reticulum	BP	5.52399732605527e-75	44.0779907468605	1.25566797205325e-78	102	6669	320.321624514249	[182.2-569]	182.195698884172	RPL22,RPL11,RPS8,RPL5,RPS27,RPS7,RPS27A,RPL37A,RPL32,RPL15,RPL29,RPL24,RPL35A,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,RPS20,RPL30,RPL8,RPS6,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS3,RPL41,RPL6,RPL21,RPS29,RPLP1,RPS2,RPS15A,RPL13,RPL26,RPL19,RPL27,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPL18,RPL13A,RPS11,RPS9,RPS21,RPL3,RPS4X,RPL39,RPL10
high	GO:0022626	6.79550834240331e-78	1	60	92	cytosolic ribosome	CC	2.39161120602542e-74	42.6406649616368	6.79550834240331e-78	102	6669	288.169765301475	[167.3-504.7]	167.271731912184	RPL22,RPL11,RPS8,RPL5,RPS27,RPS7,RPS27A,RPL37A,RPL32,RPL15,RPL29,RPL24,RPL35A,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,RPS20,RPL30,RPL8,RPS6,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS3,RPL41,RPL6,RPL21,RPS29,RPLP1,RPS2,RPS15A,RPL13,RPL26,RPL19,RPL27,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPL18,RPL13A,RPS11,RPS9,RPS21,RPL3,RPS4X,RPL39,RPL10
high	GO:0000184	2.15974218585366e-77	1	60	94	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	BP	6.33416387407781e-74	41.7334167709637	2.15974218585366e-77	102	6669	271.371473345883	[157.2-476.6]	157.248990271201	RPL22,RPL11,RPS8,RPL5,RPS27,RPS7,RPS27A,RPL37A,RPL32,RPL15,RPL29,RPL24,RPL35A,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,RPS20,RPL30,RPL8,RPS6,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS3,RPL41,RPL6,RPL21,RPS29,RPLP1,RPS2,RPS15A,RPL13,RPL26,RPL19,RPL27,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPL18,RPL13A,RPS11,RPS9,RPS21,RPL3,RPS4X,RPL39,RPL10
high	GO:0070972	4.33360941577435e-75	1	60	102	protein localization to endoplasmic reticulum	BP	1.08940749841973e-71	38.4602076124567	4.33360941577435e-75	102	6669	219.699497203068	[131.3-379.3]	131.282051282047	RPL22,RPL11,RPS8,RPL5,RPS27,RPS7,RPS27A,RPL37A,RPL32,RPL15,RPL29,RPL24,RPL35A,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,RPS20,RPL30,RPL8,RPS6,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS3,RPL41,RPL6,RPL21,RPS29,RPLP1,RPS2,RPS15A,RPL13,RPL26,RPL19,RPL27,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPL18,RPL13A,RPS11,RPS9,RPS21,RPL3,RPS4X,RPL39,RPL10
high	GO:0003735	4.75468919522788e-74	1	60	102	structural constituent of ribosome	MF	1.04585332210531e-70	38.4602076124567	4.75468919522788e-74	102	6669	219.699497203068	[131.3-379.3]	131.282051282047	RPL22,RPL11,RPS8,RPL5,RPS27,RPS7,RPS27A,RPL37A,RPL32,RPL15,RPL29,RPL24,RPL35A,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,RPS20,RPL30,RPL8,RPS6,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS3,RPL41,RPL6,RPL21,RPS29,RPLP1,RPS2,RPS15A,RPL13,RPL26,RPL19,RPL27,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPL18,RPL13A,RPS11,RPS9,RPS21,RPL3,RPS4X,RPL39,RPL10
high	GO:0044391	3.03577803002953e-71	1	60	113	ribosomal subunit	CC	5.93562066604774e-68	34.7162935970849	3.03577803002953e-71	102	6669	174.198223208745	[105.4-293.2]	105.419986510217	RPL22,RPL11,RPS8,RPL5,RPS27,RPS7,RPS27A,RPL37A,RPL32,RPL15,RPL29,RPL24,RPL35A,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,RPS20,RPL30,RPL8,RPS6,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS3,RPL41,RPL6,RPL21,RPS29,RPLP1,RPS2,RPS15A,RPL13,RPL26,RPL19,RPL27,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPL18,RPL13A,RPS11,RPS9,RPS21,RPL3,RPS4X,RPL39,RPL10
high	GO:0006413	2.14266246940335e-70	1	60	125	translational initiation	BP	3.77044314740907e-67	31.3835294117647	2.14266246940335e-70	102	6669	141.444482929208	[87.5-232.5]	87.4999866941207	RPL22,RPL11,RPS8,RPL5,RPS27,RPS7,RPS27A,RPL37A,RPL32,RPL15,RPL29,RPL24,RPL35A,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,RPS20,RPL30,RPL8,RPS6,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS3,RPL41,RPL6,RPL21,RPS29,RPLP1,RPS2,RPS15A,RPL13,RPL26,RPL19,RPL27,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPL18,RPL13A,RPS11,RPS9,RPS21,RPL3,RPS4X,RPL39,RPL10
