gene	T0_NI_CD16neg	T0_NI_CD16pos	T2_IAV_CD16neg	T2_IAV_CD16pos	T2_NI_CD16neg	T2_NI_CD16pos	T4_IAV_CD16neg	T4_IAV_CD16pos	T4_NI_CD16neg	T4_NI_CD16pos	T6_IAV_CD16neg	T6_IAV_CD16pos	T6_NI_CD16neg	T6_NI_CD16pos	T8_IAV_CD16neg	T8_IAV_CD16pos	T8_NI_CD16neg	T8_NI_CD16pos	ni_CD16neg_CD16pos_logFC	ni_CD16neg_CD16pos_AUC	ni_CD16neg_CD16pos_pval	ni_CD16neg_CD16pos_fdr	iav_CD16neg_CD16pos_logFC	iav_CD16neg_CD16pos_AUC	iav_CD16neg_CD16pos_pval	iav_CD16neg_CD16pos_fdr	IAV	NI	ens	t0_CD16neg_CD16pos_logFC	t0_CD16neg_CD16pos_AUC	t0_CD16neg_CD16pos_pval	t0_CD16neg_CD16pos_fdr
MTND1P23	0.777336961350141	1.01627040982027	1.18190787255942	1.37414023863801	0.798937060308544	0.996776381013143	0.835008042489481	1.0083126304729	0.58792987466232	0.786279236963413	0.8825963046441	0.994370849672109	0.594853810341747	0.792685070208899	1.34092589015566	1.35841836755611	0.526439140660981	0.661676617115993	-0.0117496573119176	0.498579011824696	0.816334214963422	0.850064416280049	0.0213111671648768	0.518334261212003	0.0025178093586459	0.00543231536865402	nonsig	nonsig	ENSG00000225972	0.0672046628392755	0.533547997303196	0.000126536210612439	0.000309029289612181
MTND2P28	0.85689020367202	0.841415907498887	0.620000612311501	0.615475881719792	0.759750099797502	0.818517897439985	0.679320921965094	0.709038018844806	0.48287589298991	0.580208378608962	0.758770301133611	0.784346049199077	0.387009466390376	0.497409509808165	0.593976908192392	0.603168650796364	0.369117103963855	0.550232427175361	-0.069630504759637	0.472078889879696	4.87313504571886e-08	1.17199771171231e-07	-0.0536327706503637	0.481939671793731	0.0616570457495819	0.096578646508245	nonsig	nonsig	ENSG00000225630	0.0124889534632707	0.493966201928175	0.385045091061224	0.460749453592655
MTCO1P12	0.529843791134511	0.590538661049924	0.689038084199932	0.697355393237813	0.560191225171359	0.601252524729093	0.58877517120879	0.595225947554734	0.420228922287856	0.492894814793077	0.578536818801706	0.530059842386183	0.221002389162141	0.287540771851916	0.844868687145056	0.731405171502955	0.291685196950684	0.360836222607938	0.0162539059193096	0.504304283384741	0.286501661445213	0.340704678475388	0.0674047170927164	0.534712338260359	1.85129259957568e-07	6.67858781889935e-07	nonsig	nonsig	ENSG00000237973	0.0610045133729148	0.525796687412849	0.00727434264046636	0.0132458179423417
MTATP6P1	1.85971796737572	2.14644887862254	1.68812002508127	1.94307555437047	1.73655409190492	1.95491595060181	1.52290165802403	2.00279698601735	1.22039426524586	1.60309077273298	1.24720630469554	1.59806304595664	1.05468017575164	1.28927596322336	1.3861489635914	1.92100533978431	1.10863287062357	1.43051787522847	-0.293791561512063	0.401037038116321	1.88981397249211e-87	1.9969530323499e-86	-0.353269671807389	0.403247717937922	2.00662976688145e-28	1.9234979622535e-27	nonclassical	nonclassical	ENSG00000248527	-0.290977832269838	0.395814952855951	6.13596478791353e-19	4.76669449804918e-18
MTCO3P12	0.429723071165237	0.438506654815729	0.495502864635397	0.466164794752081	0.514573267632692	0.532574147456429	0.763941194412786	0.791267762252518	0.485866729149466	0.600352367542014	0.651492175580269	0.657971519493497	0.394695777043572	0.5375826882063	0.397647240120703	0.402617556053082	0.336887551954469	0.589200436020757	-0.060289445395064	0.475989067464889	4.68944678564586e-07	1.05238086728039e-06	-0.0566348778310534	0.480073780104366	0.0521245314248285	0.0832256052018083	nonsig	nonsig	ENSG00000198744	-0.00910900961222134	0.494123248728121	0.352613983196357	0.428630403486876
NOC2L	0.0864264710042915	0.141933712736273	0.0575363621464111	0.0959022275305583	0.0627641288776216	0.1158218839529	0.0430260713701962	0.0466736561056279	0.0824935218335427	0.106902881948356	0.0425942893135575	0.0634574189832549	0.108006101036506	0.11613746258144	0.0416363631829469	0.0638068118874931	0.107592202695174	0.123189044745656	-0.026333229130016	0.484739531894299	0.00127578875082835	0.00213367025599483	-0.0244054752662859	0.486279057829351	0.0376002996095131	0.0623542454864988	nonsig	nonsig	ENSG00000188976	-0.0561055977077428	0.463831221704068	1.17061208368045e-08	4.5934544336233e-08
HES4	0.156200406983897	0.884938893898919	0.172276300524903	0.590621192878042	0.158477462627105	0.492502408286763	0.273108224446688	0.77172267162743	0.0739117664838008	0.102966254844985	0.578220958239695	1.3885286032584	0.0520620981865295	0.0890122467820171	0.908890122652987	1.60310527838801	0.0362124556061326	0.0452721492492407	-0.116459326223924	0.447350531474695	1.67409987386447e-26	7.94568357462818e-26	-0.499395231385881	0.351312739519503	1.05368851735679e-80	3.07402171802788e-79	nonclassical	nonsig	ENSG00000188290	-0.709448105376964	0.236068348367814	2.03647528268037e-200	6.07322184301579e-198
ISG15	0.388185712968511	0.604621832049851	0.734201650513069	1.22928777563166	0.22817245918454	0.392683920293312	3.6062883415602	4.78214284183999	0.420964010639578	0.599955812960557	5.23821341862036	6.32732624988583	0.90397789329283	1.09247954252852	6.0753023111084	6.71716399155452	0.864655599328299	0.950744268796641	-0.27101389257995	0.434785792706112	7.04576910051168e-38	4.13351787230018e-37	-0.581829905309415	0.404599049469276	1.57770884351789e-27	1.47803509110018e-26	nonclassical	nonclassical	ENSG00000187608	-0.177147435055518	0.428841794854867	2.23270893255009e-14	1.33614064101771e-13
AGRN	0.00833216305760864	0.00296699390068065	0.0130927161883963	0.00359343686806028	0.00951563588090265	0.0025123150104761	0.140470216914768	0.0936720425572922	0.0136967162334758	0.007648009547354	0.208993859671354	0.111881688820759	0.0208107287798606	0.0105961890474016	0.182036900778112	0.128654233340932	0.0221233767427203	0.00839584466953995	0.00648242444536395	0.503247988505528	0.41100894913962	0.470626288178644	0.0329918991794316	0.508341894058052	0.239266816909319	0.311617670044702	nonsig	nonsig	ENSG00000188157	0.00627804745688138	0.502501745520165	0.487297832768272	0.56387470711362
AL390719.1	0.0621946636380387	0.0203798551324275	0.351297060751831	0.0754287717239009	0.358675616752975	0.0712822111504023	0.448550754237498	0.100205931894117	0.432370503133011	0.0956622823076178	0.341693821592296	0.0726404770268165	0.367596167441652	0.0811850283378199	0.231318473631851	0.0529001371966201	0.308122354314835	0.0614563006747367	0.275757428788561	0.614975759421597	5.82737425512701e-119	7.87943199030779e-118	0.277085086934445	0.605194552017937	2.43959699904882e-45	3.4922017842384e-44	classical	classical	ENSG00000217801	0.0371549874704713	0.520321055674591	4.67863918346899e-05	0.000121211076915355
