.id	category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	FDR	FoldEnrich	Pvalue	nbInGrp	nbInBckgd	OR	CI	lowerCI	genes
CD16neg_IAV	GO:0005576	4.45944974471271e-18	1	159	1078	extracellular region	CC	7.49856474573442e-14	1.97938775510204	4.45944974471271e-18	400	5368	2.90591515217465	[2.3-3.6]	2.33324072769306	PGD,TNFRSF1B,FUCA1,SH3BGRL3,FGR,CSF3R,NOTCH2,S100A10,S100A9,S100A12,S100A8,S100A6,IL6R,MNDA,TAGLN2,CREG1,FAM129A,CAPN2,RAB10,CAPG,RPL31,IL1R1,IL1RN,DBI,ITGAV,ARL8B,EAF1,CRTAP,TKT,ST3GAL6,ALCAM,ATP6V1A,CSTA,PLSCR1,RPL35A,CXCL8,EREG,ANTXR2,HPSE,EIF4E,ANXA5,BASP1,PRLR,ERBIN,TNPO1,IQGAP2,VCAN,TGFBI,SPINK1,CD74,SQSTM1,MGAT1,HLA-A,HSPA1A,HLA-DRA,TREM1,VEGFA,HSP90AB1,PLA2G7,CD109,TNFAIP3,SOD2,IGF2R,SCIN,CPVL,GARS,RALA,YWHAG,MET,ATP6V1F,PRKAG2,CTSB,ATP6V1B2,ADAMDEC1,ADAM9,ATP6V1H,SDCBP,PABPC1,YWHAZ,NDRG1,PLEC,PLIN2,ANXA1,CTSL,S1PR3,SLC44A1,TXN,ATP6V1G1,HSPA5,FCN1,NOTCH1,VIM,SRGN,TALDO1,RPLP2,CTSD,ADM,AMPD3,RPS13,CD44,STX3,AHNAK,SLC3A2,FERMT3,APLP2,CD9,GAPDH,CD163,SLC2A3,OLR1,PLBD1,CD63,MMP19,LYZ,HSP90B1,TXNRD1,CKAP4,ALDH2,RPLP0,TPT1,STK24,PNP,LGALS3,ACTN1,HSP90AA1,TNFAIP2,THBS1,EHD4,PDIA3,ANXA2,PKM,ANPEP,CES1,CCL2,CCL7,CCL8,RPL23,GRN,SPAG9,CHMP1B,NPC1,SERPINB2,GPX4,EEF2,SEMA6B,TNFSF14,RPS28,HNRNPM,CALR,TPM4,TGFB1,RPS11,LILRB4,PRNP,PDXK,CSTB,DDX3X,RPL39,FLNA
CD16neg_IAV	GO:0044421	3.49366138022941e-17	1	144	948	extracellular region part	CC	2.93729580542788e-13	2.03848101265823	3.49366138022941e-17	400	5368	2.9124927855884	[2.3-3.6]	2.32512267201787	PGD,FUCA1,SH3BGRL3,FGR,S100A10,S100A9,S100A8,S100A6,IL6R,MNDA,TAGLN2,CREG1,FAM129A,CAPN2,RAB10,CAPG,RPL31,IL1RN,DBI,ITGAV,ARL8B,EAF1,CRTAP,TKT,ST3GAL6,ALCAM,ATP6V1A,CSTA,PLSCR1,RPL35A,CXCL8,EREG,HPSE,EIF4E,ANXA5,BASP1,ERBIN,TNPO1,IQGAP2,VCAN,TGFBI,SPINK1,CD74,SQSTM1,MGAT1,HLA-A,HSPA1A,HLA-DRA,VEGFA,HSP90AB1,PLA2G7,CD109,TNFAIP3,SOD2,IGF2R,SCIN,CPVL,GARS,RALA,YWHAG,ATP6V1F,PRKAG2,CTSB,ATP6V1B2,ADAMDEC1,ADAM9,ATP6V1H,SDCBP,PABPC1,YWHAZ,NDRG1,PLEC,ANXA1,CTSL,SLC44A1,TXN,ATP6V1G1,HSPA5,FCN1,VIM,SRGN,TALDO1,RPLP2,CTSD,ADM,RPS13,CD44,STX3,AHNAK,SLC3A2,FERMT3,APLP2,CD9,GAPDH,SLC2A3,PLBD1,CD63,MMP19,LYZ,HSP90B1,TXNRD1,CKAP4,ALDH2,RPLP0,TPT1,STK24,PNP,LGALS3,ACTN1,HSP90AA1,TNFAIP2,THBS1,EHD4,PDIA3,ANXA2,PKM,ANPEP,CES1,CCL2,CCL7,CCL8,RPL23,GRN,SPAG9,CHMP1B,NPC1,SERPINB2,GPX4,EEF2,SEMA6B,TNFSF14,RPS28,HNRNPM,CALR,TPM4,TGFB1,RPS11,LILRB4,PRNP,PDXK,CSTB,DDX3X,RPL39,FLNA
CD16neg_IAV	GO:0005615	2.17707542034197e-16	1	139	916	extracellular space	CC	1.22025077310168e-12	2.03644104803493	2.17707542034197e-16	400	5368	2.87183653085574	[2.3-3.6]	2.28776616258569	PGD,FUCA1,SH3BGRL3,FGR,S100A10,S100A9,S100A8,S100A6,IL6R,MNDA,TAGLN2,CREG1,FAM129A,CAPN2,RAB10,CAPG,RPL31,IL1RN,DBI,ITGAV,ARL8B,CRTAP,TKT,ST3GAL6,ALCAM,ATP6V1A,CSTA,PLSCR1,RPL35A,CXCL8,EREG,EIF4E,ANXA5,BASP1,TNPO1,IQGAP2,VCAN,TGFBI,SPINK1,CD74,SQSTM1,MGAT1,HLA-A,HSPA1A,HLA-DRA,VEGFA,HSP90AB1,PLA2G7,CD109,TNFAIP3,SOD2,IGF2R,SCIN,CPVL,GARS,RALA,YWHAG,ATP6V1F,PRKAG2,CTSB,ATP6V1B2,ADAM9,ATP6V1H,SDCBP,PABPC1,YWHAZ,NDRG1,PLEC,ANXA1,CTSL,SLC44A1,TXN,ATP6V1G1,HSPA5,VIM,SRGN,TALDO1,RPLP2,CTSD,ADM,RPS13,CD44,STX3,AHNAK,SLC3A2,FERMT3,APLP2,CD9,GAPDH,SLC2A3,PLBD1,CD63,MMP19,LYZ,HSP90B1,TXNRD1,CKAP4,ALDH2,RPLP0,TPT1,STK24,PNP,LGALS3,ACTN1,HSP90AA1,TNFAIP2,THBS1,EHD4,PDIA3,ANXA2,PKM,ANPEP,CES1,CCL2,CCL7,CCL8,RPL23,GRN,SPAG9,CHMP1B,NPC1,SERPINB2,GPX4,EEF2,SEMA6B,TNFSF14,RPS28,HNRNPM,CALR,TPM4,TGFB1,RPS11,LILRB4,PRNP,PDXK,CSTB,DDX3X,RPL39,FLNA
CD16neg_IAV	GO:0070887	1.1553882415338e-15	1	158	1141	cellular response to chemical stimulus	BP	4.00391078898208e-12	1.85833479404032	1.1553882415338e-15	400	5368	2.64603331381123	[2.1-3.3]	2.12552571294893	TNFRSF1B,PTAFR,LAPTM5,SFPQ,CSF3R,JUN,JAK1,GCLM,MCL1,S100A9,S100A12,S100A8,IL6R,LMNA,ETV3,MNDA,ABL2,NCF2,CAPN2,LYST,CMPK2,RSAD2,RAB10,CYP1B1,HK2,IL1R1,LIMS1,IL1RN,EDEM1,IRAK2,CCR1,CCR5,CCRL2,GPX1,ST3GAL6,ATP6V1A,TIPARP,TRA2B,RBPJ,CXCL8,EREG,EIF4E,ANXA5,SLC7A11,ACSL1,PRLR,DAB2,ERBIN,ZFYVE16,IRF1,CD74,NPM1,DUSP1,HNRNPH1,SQSTM1,JARID2,HLA-A,HSPA1A,HLA-DRA,SRSF3,CDKN1A,VEGFA,HSP90AB1,PLA2G7,CD109,TNFAIP3,SOD2,AHR,RALA,POR,YWHAG,PTPN12,MET,ATP6V1F,HIPK2,AGAP3,INSIG1,CTSB,ATP6V1B2,BNIP3L,ADAM9,ATP6V1H,SDCBP,YWHAZ,KLF10,NDRG1,ANXA1,CTSL,TXN,ATP6V1G1,HSPA5,NOTCH1,OPTN,VIM,MAP3K8,PPIF,PTPRE,ADAM8,TALDO1,CD44,STX3,GAPDH,YBX3,MGST1,TMBIM6,ITGA5,CD63,HSP90B1,TXNRD1,RPLP0,SPART,RGCC,STK24,GPR183,IRS2,NFKBIA,LGALS3,ZFP36L1,HSP90AA1,THBS1,EHD4,PDIA3,MAPK6,AQP9,ANXA2,PKM,LITAF,FUS,ITGAX,CES1,KDM6B,MAP2K3,CCL2,CCL7,CCL8,RPL23,TRIM25,SPHK1,RIOK3,NPC1,SERPINB2,GPX4,EEF2,TNFSF14,HNRNPM,CALR,TGFB1,FOSB,PPP1R15A,PRNP,CEBPB,RUNX1,XBP1,DDX17,ATF4,PIM3,DDX3X,IRAK1
CD16neg_IAV	GO:0042221	1.19057710050017e-15	1	186	1443	response to chemical	BP	4.00391078898208e-12	1.72981288981289	1.19057710050017e-15	400	5368	2.56546660093577	[2.1-3.2]	2.07438607981163	TNFRSF1B,PTAFR,LAPTM5,SFPQ,CSF3R,JUN,JAK1,NEXN,GCLM,TXNIP,MCL1,S100A10,S100A9,S100A12,S100A8,IL6R,LMNA,ETV3,MNDA,PEA15,ABL2,NCF2,CAPN2,LYST,CMPK2,RSAD2,RAB10,CYP1B1,HK2,IL1R1,LIMS1,IL1RN,KYNU,ITGAV,SLC11A1,EDEM1,IRAK2,CCR1,CCR5,CCRL2,GPX1,ST3GAL6,ALCAM,ATP6V1A,PLSCR1,TIPARP,TRA2B,RBPJ,CXCL8,EREG,EIF4E,ANXA5,SLC7A11,ACSL1,PRLR,DAB2,ERBIN,ZFYVE16,IRF1,CD74,NPM1,DUSP1,HNRNPH1,SQSTM1,TBC1D7,JARID2,HLA-A,HSPA1A,HLA-DRA,SRSF3,CDKN1A,VEGFA,HSP90AB1,PLA2G7,CD109,CYB5R4,TNFAIP3,SOD2,IGF2R,AHR,GPNMB,RALA,POR,YWHAG,PTPN12,TRIM56,MET,ATP6V1F,HIPK2,AGAP3,INSIG1,CLN8,CTSB,ATP6V1B2,BNIP3L,ADAM9,IDO1,ATP6V1H,SDCBP,YWHAZ,KLF10,NDRG1,PLIN2,ANXA1,CTSL,TXN,ATP6V1G1,HSPA5,NOTCH1,OPTN,VIM,MAP3K8,PPIF,PTPRE,ADAM8,TALDO1,ADM,CD44,STX3,SLC3A2,CD9,GAPDH,YBX3,MGST1,TMBIM6,ITGA5,CD63,MMP19,DUSP6,BTG1,HSP90B1,TXNRD1,RPLP0,SPART,RGCC,STK24,GPR183,IRS2,PNP,NFKBIA,LGALS3,ZFP36L1,HSP90AA1,THBS1,EHD4,PDIA3,MAPK6,AQP9,ANXA2,PKM,LITAF,FUS,ITGAX,CES1,ZFHX3,KDM6B,MAP2K3,CCL2,CCL7,CCL8,RPL23,TRIM25,SPHK1,RIOK3,NPC1,SERPINB2,MBP,GPX4,EEF2,SEMA6B,TNFSF14,HNRNPM,CALR,TGFB1,FOSB,PPP1R15A,PRNP,HM13,CEBPB,RUNX1,XBP1,DDX17,ATF4,PIM3,DDX3X,IRAK1
CD16neg_IAV	GO:0008219	1.64801573239589e-14	1	122	807	cell death	BP	4.61856409003949e-11	2.0287980173482	1.64801573239589e-14	400	5368	2.74324803692604	[2.2-3.5]	2.16564585123673	TNFRSF1B,SFPQ,JUN,GCLM,NOTCH2,TXNIP,MCL1,S100A9,S100A8,IL6R,LMNA,MNDA,PEA15,CAPN2,FOSL2,CYP1B1,RTN4,HK2,MAP3K20,ITGAV,CCR5,GPX1,CSTA,PLSCR1,ANXA5,SLC7A11,ARHGAP10,FNIP2,PRLR,DAB2,FNIP1,IRF1,CD74,NPM1,DUSP1,SQSTM1,RNF130,IER3,HSPA1A,CDKN1A,VEGFA,HSP90AB1,SGK1,TNFAIP3,SOD2,IGF2R,SCIN,AHR,GPNMB,POR,YWHAG,PNPLA8,MET,HIPK2,CLEC5A,DNAJB6,CLN8,CTSB,BNIP3L,IDO1,RB1CC1,NSMAF,SGK3,YWHAZ,NDRG1,ANXA1,CTSL,TXN,HSPA5,NOTCH1,OPTN,SRGN,PPIF,BLOC1S2,ADAM8,CTSD,ADM,CD44,TMEM123,GAPDH,YBX3,EMP1,TMBIM6,ZNF385A,ITGA5,PHLDA1,DUSP6,BTG1,HSP90B1,RGCC,TPT1,STK24,IRS2,NFKBIA,LGALS3,ZFP36L1,ACTN1,MOAP1,THBS1,PDIA3,PKM,CCL2,GRN,SPHK1,NPC1,SERPINB2,GPX4,GADD45B,TNFSF14,CALR,TGFB1,EMP3,PPP1R15A,ATF5,PRNP,CEBPB,XBP1,ATF4,PIM3,DDX3X,IRAK1,FLNA
CD16neg_IAV	GO:0009986	3.20676693610266e-14	1	54	227	cell surface	CC	7.7031122900809e-11	3.19242290748899	3.20676693610266e-14	400	5368	4.32377156099946	[3.1-6]	3.06444764822503	CSF3R,NOTCH2,IL6R,CAPN2,IL1R1,ITGAV,TNS1,CCR1,CCR5,CCRL2,CLDND1,ALCAM,ANTXR2,ANXA5,SLC7A11,PRLR,IQGAP2,CD74,HLA-A,HLA-DRA,HLA-DMA,VEGFA,HSP90AB1,CD109,IGF2R,RALA,MET,CLEC5A,ADAM9,ANXA1,HSPA5,FCN1,NOTCH1,ADAM8,CD44,SLC3A2,TMEM123,CD9,CD163,ITGA5,CD63,LGALS3,HSP90AA1,THBS1,PDIA3,ANXA2,ANPEP,ITGAX,MBP,CALR,TGFB1,PRNP,CD93,HM13
CD16neg_IAV	GO:0060548	5.05241268817718e-14	1	72	367	negative regulation of cell death	BP	1.06195399189624e-10	2.63280653950954	5.05241268817718e-14	400	5368	3.47578554273937	[2.6-4.6]	2.58608124841038	TNFRSF1B,JUN,GCLM,NOTCH2,MCL1,LMNA,PEA15,ITGAV,CCR5,GPX1,ANXA5,SLC7A11,ARHGAP10,PRLR,DAB2,FNIP1,CD74,NPM1,DUSP1,SQSTM1,IER3,HSPA1A,CDKN1A,VEGFA,HSP90AB1,TNFAIP3,SOD2,GPNMB,POR,MET,HIPK2,CLEC5A,DNAJB6,CLN8,BNIP3L,IDO1,RB1CC1,SGK3,YWHAZ,ANXA1,TXN,HSPA5,NOTCH1,PPIF,ADAM8,CD44,YBX3,TMBIM6,ZNF385A,ITGA5,HSP90B1,TPT1,IRS2,NFKBIA,LGALS3,THBS1,CCL2,GRN,SPHK1,NPC1,SERPINB2,GPX4,TNFSF14,ATF5,PRNP,CEBPB,XBP1,ATF4,PIM3,DDX3X,IRAK1,FLNA
CD16neg_IAV	GO:0043067	2.37594266505368e-13	1	98	606	regulation of programmed cell death	BP	4.43905287920862e-10	2.17023102310231	2.37594266505368e-13	400	5368	2.84822797740682	[2.2-3.7]	2.20373077758987	TNFRSF1B,SFPQ,JUN,GCLM,NOTCH2,TXNIP,MCL1,S100A9,S100A8,LMNA,MNDA,PEA15,CAPN2,CYP1B1,RTN4,MAP3K20,ITGAV,CCR5,GPX1,ANXA5,SLC7A11,ARHGAP10,PRLR,DAB2,FNIP1,CD74,NPM1,DUSP1,SQSTM1,IER3,HSPA1A,CDKN1A,VEGFA,HSP90AB1,SGK1,TNFAIP3,SOD2,IGF2R,SCIN,POR,YWHAG,MET,HIPK2,CLEC5A,DNAJB6,CLN8,CTSB,BNIP3L,IDO1,RB1CC1,NSMAF,SGK3,YWHAZ,NDRG1,ANXA1,HSPA5,NOTCH1,PPIF,ADAM8,CTSD,ADM,CD44,GAPDH,YBX3,TMBIM6,ZNF385A,ITGA5,DUSP6,BTG1,HSP90B1,RGCC,TPT1,IRS2,NFKBIA,LGALS3,ZFP36L1,ACTN1,MOAP1,THBS1,PDIA3,CCL2,GRN,SPHK1,SERPINB2,GPX4,GADD45B,TNFSF14,CALR,TGFB1,ATF5,PRNP,CEBPB,XBP1,ATF4,PIM3,DDX3X,IRAK1,FLNA
CD16neg_IAV	GO:0070062	3.10496240314943e-13	1	114	748	extracellular exosome	CC	5.22099428089577e-10	2.04529411764706	3.10496240314943e-13	400	5368	2.72414854467622	[2.1-3.5]	2.13875786958339	PGD,FUCA1,SH3BGRL3,FGR,S100A10,S100A9,S100A8,S100A6,MNDA,TAGLN2,CREG1,FAM129A,CAPN2,RAB10,CAPG,RPL31,IL1RN,DBI,ITGAV,ARL8B,TKT,ST3GAL6,ALCAM,ATP6V1A,PLSCR1,RPL35A,EIF4E,ANXA5,BASP1,TNPO1,IQGAP2,TGFBI,SPINK1,CD74,SQSTM1,MGAT1,HSPA1A,HLA-DRA,HSP90AB1,TNFAIP3,SOD2,IGF2R,SCIN,CPVL,GARS,RALA,YWHAG,ATP6V1F,CTSB,ATP6V1B2,ADAM9,ATP6V1H,SDCBP,PABPC1,YWHAZ,NDRG1,PLEC,ANXA1,CTSL,SLC44A1,TXN,ATP6V1G1,HSPA5,VIM,TALDO1,RPLP2,CTSD,RPS13,CD44,STX3,AHNAK,SLC3A2,FERMT3,APLP2,CD9,GAPDH,SLC2A3,CD63,LYZ,HSP90B1,TXNRD1,CKAP4,ALDH2,RPLP0,TPT1,STK24,PNP,LGALS3,ACTN1,HSP90AA1,THBS1,EHD4,PDIA3,ANXA2,PKM,ANPEP,RPL23,GRN,SPAG9,CHMP1B,NPC1,GPX4,EEF2,RPS28,HNRNPM,CALR,TPM4,RPS11,LILRB4,PRNP,PDXK,CSTB,DDX3X,FLNA
