gene	ens	upregulated_in	relative_classic	relative_nonclassic	nonclassical_id_fdr	nonclassical_fluCor_pval	classical_id_fdr	classical_fluCor_pval	nonclassical_fluCor_cc	classical_mean	intermediate_id_pval	intermediate_id_fdr	classical_sd	intermediate_mean	intermediate_fluCor_cc	nonclassical_id_pval	minP
IFITM3	ENSG00000142089	nonclassical	up	nonsig	1.16445305166767e-52	3.27771824923024e-06	0	0.000201245996629761	-0.989025002600084	0.735859580839879	2.16036474167105e-32	1.41627339993263e-29	0.64356973483949	1.55059130801901	-0.944575474332507	1.52249254957639e-55	1.52249254957639e-55
IFI44L	ENSG00000137959	classical	nonsig	nonsig	2.31470219285644e-27	0.00829233858197095	0	0.00174272927688116	-0.844795783728981	0.687647660481524	3.66939110684469e-22	1.29529506071618e-19	0.696583717242691	0.522069368677098	-0.795660759099762	6.5572300080919e-30	6.5572300080919e-30
IFITM2	ENSG00000185201	nonclassical	up	nonsig	2.55801099653919e-20	0.0993481568618216	3.7555037325542e-105	0.00208194939447594	-0.622413881864016	0.849045804933812	1.97363709581037e-15	3.77375859694741e-13	0.282519169722492	1.85459485716603	-0.604652129634512	1.11484462695105e-22	1.11484462695105e-22
IFI6	ENSG00000126709	nonsig	nonsig	nonsig	1.9288319702254e-13	0.000462946249460448	0	0.000916666852092701	-0.942162771438514	0.540288521860254	4.16471043701108e-17	1.06176978863577e-14	0.460045181147007	0.528661103878688	-0.893187135770837	1.3450124874093e-15	1.3450124874093e-15
PLSCR1	ENSG00000188313	classical	down	nonsig	9.16609518626336e-11	0.00891028514614687	1.23882769984572e-73	0.000359148384575622	-0.840867233057923	0.616582529158187	0.0150703105179864	0.128545827076282	0.211052164332968	0.440007835705238	-0.694654700049234	9.1880666499916e-13	9.1880666499916e-13
ISG15	ENSG00000187608	nonclassical	nonsig	nonsig	1.61282628574917e-10	0.0172385222003832	1.44993796992908e-176	0.000729569523358463	-0.799513307617861	0.417598225329533	6.28778078371505e-10	7.2136565041171e-08	0.339281449605296	0.603792858256244	-0.761680948941299	1.72212874268271e-12	1.72212874268271e-12
APOBEC3A	ENSG00000128383	nonsig	up	up	1.66509840572556e-08	0.0595218105681245	2.33155327983104e-150	0.000988678159209304	-0.687515973160395	0.84918011767966	5.9577373074784e-09	5.69584510500383e-07	0.417582708488438	1.32286798667651	-0.741004585573087	2.32221176653815e-10	2.32221176653815e-10
MX2	ENSG00000183486	nonsig	nonsig	nonsig	5.69301934017008e-08	0.0690092097765707	1.16298348936779e-88	0.00237922673662475	-0.670113909396955	0.598483989589114	0.0104718307582954	0.102258220052335	0.254069372701486	0.565081112624552	-0.513922666408878	8.43594062173819e-10	8.43594062173819e-10
XAF1	ENSG00000132530	nonsig	nonsig	nonsig	1.44741658032525e-07	0.0029542346414588	2.63385389457581e-228	0.00251642634055845	-0.891307574897096	0.626907024410362	1.98103844634775e-06	0.000110865675979144	0.440904329377014	0.543211706837344	-0.652277843455798	2.33403414565415e-09	2.33403414565415e-09
OAS3	ENSG00000111331	nonsig	nonsig	nonsig	2.79656240320119e-06	0.0131899808624146	4.5186891874945e-60	0.000170264902936719	-0.817509523777245	0.198776274506002	1.56268271353462e-06	9.07740629419035e-05	0.116870950192806	0.283216058143733	-0.806378409291408	5.66747229238856e-08	5.66747229238856e-08
PARP9	ENSG00000138496	nonsig	nonsig	nonsig	0.000149413666284883	0.0128120146487657	6.88951592708366e-73	0.00910686235879542	-0.819358732054974	0.255914915630564	0.00489816826431297	0.061751907046517	0.152370270388723	0.315912527922151	-0.697797619242877	4.75362721237587e-06	4.75362721237587e-06
MX1	ENSG00000157601	nonsig	nonsig	nonsig	0.000558019654235197	0.000271665411666353	3.71021465386772e-138	0.0016637225841578	-0.951695509672916	0.341452499240606	0.00170003771640732	0.0287877235446244	0.245183165207955	0.31346345230161	-0.645906181174745	2.14014946928295e-05	2.14014946928295e-05
