.id	category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	FDR	FoldEnrich	Pvalue	nbInGrp	nbInBckgd	OR	CI	lowerCI	genes
bystander	GO:0045087	3.05101565414032e-48	1	142	453	innate immune response	BP	5.36887224659073e-44	3.99713826244413	3.05101565414032e-48	523	6669	6.98886231540569	[5.5-8.8]	5.54336050073334	ISG15,IFI6,GBP3,GBP1,GBP2,GBP4,GBP5,PSMA5,CTSS,ADAR,MNDA,IFI16,AIM2,SLAMF7,RSAD2,EIF2AK2,ARID5A,NMI,TANK,IFIH1,STAT1,CASP8,WDFY1,SP100,MYD88,APPL1,CD47,PARP9,DTX3L,PARP14,PLSCR1,HERC5,NFKB1,UBE2D3,TLR2,DDX60,IRF2,IRF1,HAVCR2,SERPINB9,RIPK1,TRIM38,HLA-F,HLA-A,TRIM26,HLA-E,HLA-C,HLA-B,HSPA1A,HSPA1B,PSMB8,PSMB9,HLA-DPA1,HSP90AB1,MB21D1,TNFAIP3,PSMA2,NCF1,TRIM56,ZC3HAV1,NUB1,DEFB1,CTSB,LYN,RIPK2,GSDMD,JAK2,DDX58,ANXA1,CTSL,TRIM14,OPTN,UBE2D1,IFIT2,IFIT3,IFIT1,IFIT5,PIK3AP1,IFITM2,IFITM3,IRF7,TRIM21,TRIM5,TRIM22,SERPING1,UNC93B1,BIRC3,CASP4,CASP1,STAT2,TRAFD1,OAS1,OAS3,OAS2,OASL,UBC,ACOD1,PSME1,PSME2,NFKBIA,GCH1,PSMA3,IFI27,B2M,PML,PSMA4,ISG20,SOCS1,IL27,CYLD,MT2A,NLRC5,CYBA,XAF1,LGALS9,CCL2,CCL8,CCL3,CCL4,CCL3L3,CCL4L2,DHX58,IFI35,TMEM106A,TRIM25,C19orf66,BST2,FFAR2,TYROBP,TGFB1,LILRB1,SAMHD1,ZBP1,MX2,MX1,USP18,APOL1,APOBEC3A,APOBEC3B,APOBEC3G,DDX3X,XIAP
bystander	GO:0006952	4.1323153157222e-44	1	177	723	defense response	BP	3.63581763053818e-40	3.12172036527217	4.1323153157222e-44	523	6669	5.2450901298471	[4.3-6.4]	4.26169276533121	ISG15,IFI6,THEMIS2,IFI44L,GBP3,GBP1,GBP2,GBP4,GBP5,PSMA5,CTSS,ADAR,MNDA,IFI16,AIM2,CD48,SLAMF7,PTPRC,RSAD2,ADAM17,EIF2AK2,ARID5A,IL1RN,NMI,TNFAIP6,TANK,IFIH1,NFE2L2,STAT1,CASP8,WDFY1,SP140,SP100,MYD88,CCR1,CCR5,CCRL2,APPL1,CD47,PARP9,DTX3L,PARP14,PLSCR1,RTP4,CXCL10,CXCL11,HERC5,NFKB1,UBE2D3,IL15,TLR2,DDX60,IRF2,RICTOR,IRF1,HAVCR2,SERPINB9,RIPK1,TRIM38,HLA-F,HLA-A,TRIM26,HLA-E,HLA-C,HLA-B,HSPA1A,HSPA1B,PSMB8,PSMB9,TAP1,HLA-DPA1,HSP90AB1,MB21D1,TNFAIP3,NT5C3A,PSMA2,NCF1,FGL2,TRIM56,NAMPT,ZC3HAV1,NUB1,DEFB1,CTSB,IDO1,LYN,RIPK2,GSDMD,JAK2,DDX58,ANXA1,CTSL,TRIM14,OPTN,UBE2D1,IFIT2,IFIT3,IFIT1,IFIT5,PIK3AP1,IFITM2,IFITM3,IRF7,TRIM21,TRIM5,TRIM22,SERPING1,UNC93B1,CTSC,BIRC3,CASP4,CASP1,STAT2,TRAFD1,OAS1,OAS3,OAS2,OASL,P2RX7,UBC,PARP4,RB1,ACOD1,PSME1,PSME2,NFKBIA,GCH1,PSMA3,IFI27,B2M,PML,PSMA4,ISG20,SOCS1,IL27,CYLD,MT2A,NLRC5,KARS,CYBA,XAF1,LGALS9,CCL2,CCL8,CCL3,CCL4,CCL3L3,CCL4L2,DHX58,STAT3,IFI35,TMEM106A,TRIM25,C19orf66,BST2,FFAR2,TYROBP,TGFB1,LILRB2,LILRB1,SIGLEC1,CST3,SAMHD1,ADA,CD40,ZBP1,MX2,MX1,USP18,APOL3,APOL2,APOL1,APOBEC3A,APOBEC3B,APOBEC3G,DDX3X,XIAP
bystander	GO:0006955	4.60071065033259e-40	1	206	993	immune response	BP	2.69862351046342e-36	2.64531259928486	4.60071065033259e-40	523	6669	4.42374622468853	[3.6-5.4]	3.63639110608994	ISG15,IFI6,THEMIS2,RNF19B,IFI44L,IFI44,GBP3,GBP1,GBP2,GBP4,GBP5,PSMA5,CD53,CTSS,ADAR,MNDA,IFI16,AIM2,CD48,SLAMF7,DENND1B,PTPRC,RSAD2,ADAM17,EIF2AK2,ARID5A,IL1RN,NMI,TNFAIP6,TANK,IFIH1,GCA,WIPF1,STAT1,CASP8,WDFY1,SP100,MYD88,CCR1,CCR5,CCRL2,APPL1,CD47,PARP9,DTX3L,PARP14,PLSCR1,TNFSF10,CD38,CXCL10,CXCL11,HPSE,HERC5,NFKB1,UBE2D3,EXOSC9,IL15,TLR2,DDX60,IRF2,IQGAP2,IRF1,HAVCR2,LCP2,PRELID1,SERPINB9,RIPK1,TRIM38,HLA-F,HLA-A,TRIM26,HLA-E,HLA-C,HLA-B,HSPA1A,HSPA1B,TAP2,PSMB8,PSMB9,TAP1,HLA-DPA1,TAPBP,HSP90AB1,MB21D1,TNFAIP3,DYNLT1,PSMA2,NCF1,FGL2,PILRA,TRIM56,ZC3HAV1,NUB1,DEFB1,CTSB,IDO1,LYN,RIPK2,NBN,GSDMD,JAK2,CD274,DDX58,ANXA1,CTSL,TRIM14,STOM,OPTN,UBE2D1,FAS,IFIT2,IFIT3,IFIT1,IFIT5,PIK3AP1,IFITM2,IFITM3,IRF7,TRIM21,TRIM5,TRIM22,SERPING1,UNC93B1,CTSC,BIRC3,CASP4,CASP1,HSPA8,CLEC2B,CLEC12A,STAT2,CKAP4,TRAFD1,OAS1,OAS3,OAS2,OASL,P2RX7,UBC,ELF1,ACOD1,TNFSF13B,PSME1,PSME2,NFKBIA,GCH1,PSMA3,CALM1,IFI27,HSP90AA1,B2M,ANXA2,PML,PSMA4,ISG20,SOCS1,IGSF6,IL27,CYLD,MT2A,NLRC5,KARS,CYBA,XAF1,LGALS9,CCL2,CCL8,CCL3,CCL4,CCL3L3,CCL4L2,JUP,DHX58,STAT3,IFI35,TMEM106A,KPNB1,TRIM25,SECTM1,RAB31,C19orf66,BST2,FFAR2,TYROBP,TGFB1,LILRB2,LILRB1,LILRB4,RBCK1,CST3,SAMHD1,ADA,CD40,ZBP1,CTSZ,SAMSN1,MX2,MX1,ADA2,USP18,APOL1,APOBEC3A,APOBEC3B,APOBEC3G,DDX3X,XIAP
bystander	GO:0034097	6.64850788881697e-38	1	148	583	response to cytokine	BP	2.92484483298781e-34	3.23707073257923	6.64850788881697e-38	523	6669	5.17889206023776	[4.2-6.4]	4.15168699507291	ISG15,IFI6,GBP3,GBP1,GBP2,GBP4,GBP5,PSMA5,MCL1,ADAR,MNDA,IFI16,AIM2,PTPRC,CAPN2,RSAD2,ADAM17,EIF2AK2,PNPT1,HK2,IL1RN,NMI,TANK,IFIH1,NFE2L2,STAT1,CASP8,SP100,MYD88,CCR1,CCR5,CCRL2,APPL1,CD47,PARP9,PARP14,PLSCR1,CD38,CXCL10,CXCL11,NFKB1,IL15,SMARCA5,TLR2,IRF2,CASP3,ACSL1,PRLR,LMNB1,IRF1,CREBRF,RIPK1,TRIM38,HLA-F,HLA-A,TRIM26,HLA-E,HLA-C,HLA-B,HSPA1A,HSPA1B,PSMB8,PSMB9,HLA-DPA1,CDKN1A,HSP90AB1,TNFAIP3,SOD2,HNRNPA2B1,SNX10,PSMA2,TRIM56,NUB1,RIPK2,DOCK8,JAK2,CD274,DDX58,ANXA1,KLF6,IL15RA,ARID5B,IFIT2,IFIT3,IFIT1,IFITM2,IFITM3,IRF7,TRIM21,TRIM5,TRIM22,BIRC3,CASP4,CASP1,CARD16,IL10RA,HSPA8,STAT2,OAS1,OAS3,OAS2,OASL,UBC,ELF1,ACOD1,TNFSF13B,PSME1,PSME2,NFKBIA,GCH1,PSMA3,IFI27,HSP90AA1,B2M,ANXA2,PML,PSMA4,ISG20,SOCS1,IL27,CYLD,MT2A,NLRC5,KARS,CYBA,XAF1,LGALS9,CCL2,CCL8,CCL3,CCL4,CCL3L3,CCL4L2,STAT3,IFI35,TRIM25,C19orf66,BST2,ZFP36,TGFB1,RBCK1,SAMHD1,CD40,ZBP1,MX2,MX1,USP18,MSN
bystander	GO:0019221	1.45762486739401e-37	1	118	391	cytokine-mediated signaling pathway	BP	5.12996495830648e-34	3.84825886460661	1.45762486739401e-37	523	6669	6.26471154297497	[4.9-8]	4.89132414785713	ISG15,IFI6,GBP1,GBP2,PSMA5,MCL1,ADAR,AIM2,PTPRC,RSAD2,ADAM17,IL1RN,NMI,STAT1,CASP8,SP100,MYD88,CCR1,CCR5,CCRL2,APPL1,PARP9,PARP14,CXCL10,CXCL11,NFKB1,IL15,IRF2,CASP3,ACSL1,PRLR,LMNB1,IRF1,CREBRF,RIPK1,TRIM38,HLA-F,HLA-A,TRIM26,HLA-E,HLA-C,HLA-B,HSPA1A,HSPA1B,PSMB8,PSMB9,HLA-DPA1,CDKN1A,HSP90AB1,TNFAIP3,SOD2,HNRNPA2B1,PSMA2,RIPK2,JAK2,ANXA1,KLF6,IL15RA,IFIT2,IFIT3,IFIT1,IFITM2,IFITM3,IRF7,TRIM21,TRIM5,TRIM22,BIRC3,CASP4,CASP1,CARD16,IL10RA,HSPA8,STAT2,OAS1,OAS3,OAS2,OASL,UBC,ELF1,TNFSF13B,PSME1,PSME2,NFKBIA,PSMA3,IFI27,HSP90AA1,B2M,ANXA2,PML,PSMA4,ISG20,SOCS1,IL27,CYLD,MT2A,NLRC5,KARS,XAF1,CCL2,CCL8,CCL3,CCL4,CCL3L3,CCL4L2,STAT3,IFI35,TRIM25,BST2,TGFB1,RBCK1,SAMHD1,CD40,ZBP1,MX2,MX1,USP18,MSN
bystander	GO:0071345	8.51395943918581e-36	1	138	536	cellular response to cytokine stimulus	BP	2.49700240418921e-32	3.28301846408493	8.51395943918581e-36	523	6669	5.17449281275932	[4.1-6.5]	4.12270432526402	ISG15,IFI6,GBP3,GBP1,GBP2,GBP4,GBP5,PSMA5,MCL1,ADAR,MNDA,IFI16,AIM2,PTPRC,CAPN2,RSAD2,ADAM17,PNPT1,HK2,IL1RN,NMI,TANK,NFE2L2,STAT1,CASP8,SP100,MYD88,CCR1,CCR5,CCRL2,APPL1,CD47,PARP9,PARP14,CXCL10,CXCL11,NFKB1,IL15,SMARCA5,TLR2,IRF2,CASP3,ACSL1,PRLR,LMNB1,IRF1,CREBRF,RIPK1,TRIM38,HLA-F,HLA-A,TRIM26,HLA-E,HLA-C,HLA-B,HSPA1A,HSPA1B,PSMB8,PSMB9,HLA-DPA1,CDKN1A,HSP90AB1,TNFAIP3,SOD2,HNRNPA2B1,SNX10,PSMA2,RIPK2,DOCK8,JAK2,ANXA1,KLF6,IL15RA,ARID5B,IFIT2,IFIT3,IFIT1,IFITM2,IFITM3,IRF7,TRIM21,TRIM5,TRIM22,BIRC3,CASP4,CASP1,CARD16,IL10RA,HSPA8,STAT2,OAS1,OAS3,OAS2,OASL,UBC,ELF1,ACOD1,TNFSF13B,PSME1,PSME2,NFKBIA,PSMA3,IFI27,HSP90AA1,B2M,ANXA2,PML,PSMA4,ISG20,SOCS1,IL27,CYLD,MT2A,NLRC5,KARS,CYBA,XAF1,LGALS9,CCL2,CCL8,CCL3,CCL4,CCL3L3,CCL4L2,STAT3,IFI35,TRIM25,BST2,ZFP36,TGFB1,RBCK1,SAMHD1,CD40,ZBP1,MX2,MX1,USP18,MSN
bystander	GO:0043207	1.00428989352424e-34	1	120	429	response to external biotic stimulus	BP	2.20906115704326e-31	3.56683469494177	1.00428989352424e-34	523	6669	5.62160087345068	[4.4-7.1]	4.41018327371512	ISG15,IFI6,NEXN,IFI44L,IFI44,GBP3,GBP1,GBP2,GBP4,GBP5,ADAR,IFI16,AIM2,PTPRC,CAPN2,CMPK2,RSAD2,ADAM17,EIF2AK2,IL1RN,IFIH1,WIPF1,STAT1,CFLAR,CASP8,MYD88,CCR5,CD47,PARP9,DTX3L,PLSCR1,RTP4,CXCL10,CXCL11,HERC6,HERC5,NFKB1,IL15,TLR2,DDX60,IRF2,CASP3,IRF1,HAVCR2,SERPINB9,TRIM38,HLA-E,MB21D1,FAM46A,TNFAIP3,NT5C3A,PSMA2,FGL2,TRIM56,ZC3HAV1,DEFB1,IDO1,LYN,RIPK2,GSDMD,JAK2,CD274,DDX58,CHMP5,OPTN,IFIT2,IFIT3,IFIT1,IFIT5,IFITM2,IFITM3,IRF7,TRIM5,TRIM22,UNC93B1,BIRC3,CASP1,CARD16,IL10RA,STAT2,OAS1,OAS3,OAS2,OASL,P2RX7,ACOD1,NFKBIA,GCH1,IFI27,B2M,C15orf48,PML,ISG20,IL27,MT2A,NLRC5,CYBA,LGALS9,CCL2,CCL8,CCL3,CCL4,CNP,DHX58,TRIM25,C19orf66,BST2,ZFP36,TGFB1,LILRB2,LILRB1,SAMHD1,CD40,MX2,MX1,APOBEC3A,APOBEC3B,APOBEC3G,DDX3X,FMR1
bystander	GO:0051707	1.00428989352424e-34	1	120	429	response to other organism	BP	2.20906115704326e-31	3.56683469494177	1.00428989352424e-34	523	6669	5.62160087345068	[4.4-7.1]	4.41018327371512	ISG15,IFI6,NEXN,IFI44L,IFI44,GBP3,GBP1,GBP2,GBP4,GBP5,ADAR,IFI16,AIM2,PTPRC,CAPN2,CMPK2,RSAD2,ADAM17,EIF2AK2,IL1RN,IFIH1,WIPF1,STAT1,CFLAR,CASP8,MYD88,CCR5,CD47,PARP9,DTX3L,PLSCR1,RTP4,CXCL10,CXCL11,HERC6,HERC5,NFKB1,IL15,TLR2,DDX60,IRF2,CASP3,IRF1,HAVCR2,SERPINB9,TRIM38,HLA-E,MB21D1,FAM46A,TNFAIP3,NT5C3A,PSMA2,FGL2,TRIM56,ZC3HAV1,DEFB1,IDO1,LYN,RIPK2,GSDMD,JAK2,CD274,DDX58,CHMP5,OPTN,IFIT2,IFIT3,IFIT1,IFIT5,IFITM2,IFITM3,IRF7,TRIM5,TRIM22,UNC93B1,BIRC3,CASP1,CARD16,IL10RA,STAT2,OAS1,OAS3,OAS2,OASL,P2RX7,ACOD1,NFKBIA,GCH1,IFI27,B2M,C15orf48,PML,ISG20,IL27,MT2A,NLRC5,CYBA,LGALS9,CCL2,CCL8,CCL3,CCL4,CNP,DHX58,TRIM25,C19orf66,BST2,ZFP36,TGFB1,LILRB2,LILRB1,SAMHD1,CD40,MX2,MX1,APOBEC3A,APOBEC3B,APOBEC3G,DDX3X,FMR1
bystander	GO:0051607	1.00930135019416e-33	1	64	134	defense response to virus	BP	1.97340842881852e-30	6.09023715076624	1.00930135019416e-33	523	6669	12.0922111289948	[8.4-17.5]	8.3628319726627	ISG15,IFI6,IFI44L,GBP3,GBP1,ADAR,IFI16,AIM2,PTPRC,RSAD2,EIF2AK2,IFIH1,STAT1,PARP9,DTX3L,PLSCR1,RTP4,CXCL10,HERC5,IL15,DDX60,IRF2,IRF1,TRIM38,MB21D1,TNFAIP3,NT5C3A,FGL2,TRIM56,ZC3HAV1,DDX58,IFIT2,IFIT3,IFIT1,IFIT5,IFITM2,IFITM3,IRF7,TRIM5,TRIM22,UNC93B1,BIRC3,STAT2,OAS1,OAS3,OAS2,OASL,IFI27,PML,ISG20,IL27,NLRC5,DHX58,TRIM25,C19orf66,BST2,LILRB1,SAMHD1,CD40,MX2,MX1,APOBEC3A,APOBEC3B,APOBEC3G
bystander	GO:0002376	1.47593256929815e-33	1	236	1360	immune system process	BP	2.59719854219395e-30	2.2127488471488	1.47593256929815e-33	523	6669	3.67307234405728	[3-4.4]	3.04158344397978	ISG15,IFI6,THEMIS2,RNF19B,IFI44L,IFI44,LMO4,GBP3,GBP1,GBP2,GBP4,GBP5,PSMA5,CD53,MOV10,CTSS,ADAR,MNDA,IFI16,AIM2,CD48,SLAMF7,DENND1B,PTPRC,MIA3,RSAD2,ADAM17,EIF2AK2,PLEK,ARID5A,IL1RN,NMI,TNFAIP6,TANK,IFIH1,GCA,WIPF1,NFE2L2,STAT1,CASP8,WDFY1,SP100,KAT2B,MYD88,CCR1,CCR5,CCRL2,APPL1,CD47,PARP9,DTX3L,PARP14,PLSCR1,TNFSF10,RTP4,RUBCN,CD38,CXCL10,CXCL11,HPSE,HERC6,HERC5,NFKB1,UBE2D3,TET2,EXOSC9,IL15,TLR2,DDX60,IRF2,CASP3,PRLR,IQGAP2,LNPEP,IRF1,HAVCR2,LCP2,PRELID1,SERPINB9,RIPK1,TRIM38,HLA-F,HLA-A,TRIM26,HLA-E,HLA-C,HLA-B,HSPA1A,HSPA1B,TAP2,PSMB8,PSMB9,TAP1,HLA-DPA1,TAPBP,CDKN1A,HSP90AB1,MB21D1,TNFAIP3,DYNLT1,SCIN,SNX10,NT5C3A,PSMA2,NCF1,FGL2,PILRA,TRIM56,NAMPT,ZC3HAV1,NUB1,DEFB1,CTSB,IDO1,LYN,RIPK2,NBN,GSDMD,DOCK8,JAK2,CD274,DDX58,ANXA1,CTSL,TRIM14,STOM,KLF6,OPTN,UBE2D1,FAS,IFIT2,IFIT3,IFIT1,IFIT5,PIK3AP1,IFITM2,IFITM3,IRF7,TRIM21,TRIM5,TRIM22,LMO2,SERPING1,UNC93B1,CTSC,BIRC3,CASP4,CASP1,HSPA8,CLEC2B,CLEC12A,STAT2,CKAP4,TRAFD1,OAS1,OAS3,OAS2,OASL,P2RX7,UBC,HSPH1,BRCA2,ELF1,RB1,ACOD1,TNFSF13B,PSME1,PSME2,NFKBIA,GCH1,PSMA3,CALM1,IFI27,HSP90AA1,B2M,ANXA2,RAB8B,PML,PSMA4,ISG20,SOCS1,IGSF6,IL27,CYLD,MT2A,NLRC5,KARS,CYBA,XAF1,LGALS9,CCL2,CCL8,CCL3,CCL4,CCL3L3,CCL4L2,JUP,DHX58,STAT3,IFI35,TMEM106A,KPNB1,TRIM25,H3F3B,SECTM1,RAB31,C19orf66,BST2,FFAR2,TYROBP,ZFP36,TGFB1,LILRB2,LILRB1,LILRB4,RBCK1,CST3,SAMHD1,MAFB,ADA,CD40,ZBP1,CTSZ,SAMSN1,MX2,MX1,ADA2,USP18,FBXO7,APOL1,APOBEC3A,APOBEC3B,APOBEC3G,DDX3X,MSN,XIAP
