.id	category	over_represented_pvalue	under_represented_pvalue	numDEInCat	numInCat	term	ontology	FDR	FoldEnrich	Pvalue	nbInGrp	nbInBckgd	OR	CI	lowerCI	genes
infected	GO:0051704	1.52300162166516e-46	1	214	1005	multi-organism process	BP	2.68002595364419e-42	2.75740907114911	1.52300162166516e-46	515	6669	4.81873244071527	[4-5.9]	3.96217216013584	ISG15,RPL22,RPL11,IFI6,RPS8,PDE4B,NEXN,IFI44L,IFI44,GTF2B,GBP3,GBP1,GBP2,GBP4,GBP5,RPS27,ADAR,IFI16,FCER1G,PTPRC,H3F3A,ARID4B,RPS7,CMPK2,RSAD2,ADAM17,EIF2AK2,RPS27A,IL1RN,TNFAIP6,TANK,IFIH1,SSB,WIPF1,STAT1,CFLAR,CASP8,BMPR2,RPL37A,AP1S3,SP110,SP100,RPL32,MYD88,RPSA,RPL14,RPL29,RPL24,CD47,PARP9,DTX3L,PLSCR1,RTP4,RPL35A,CXCL9,CXCL10,CXCL11,SCARB2,HERC6,HERC5,RPL34,IL15,RPS3A,DDX60,IRF2,PRLR,RICTOR,RPL37,RPS23,IRF1,CD74,RPS14,HAVCR2,SERPINB9,DEK,TRIM38,HLA-E,HLA-DRA,TAP2,PSMB8,PSMB9,TAP1,RPS18,RPL10A,MB21D1,FAM46A,RPS12,TNFAIP3,DYNLT1,NT5C3A,PSMA2,FGL2,PILRA,TRIM56,NAMPT,ZC3HAV1,CUL1,DEFB1,IDO1,LYN,RPS20,RIPK2,RPL30,RPL8,JAK2,CD274,DDX58,DNAJA1,CHMP5,TDRD7,TRIM14,STOM,RPL35,RPL12,RPL7A,OPTN,MASTL,CREM,RPS24,IFIT2,IFIT3,IFIT1,IFIT5,IFITM2,IFITM3,IRF7,RPLP2,TRIM21,TRIM5,TRIM22,RPL27A,RPS13,UNC93B1,CASP1,IL10RA,RPS25,PARP11,CLEC7A,ETV6,RPL41,STAT2,RPL6,OAS1,OAS3,OAS2,OASL,RPL21,TPT1,RPS29,GCH1,PSMA3,CALM1,B2M,C15orf48,ANXA2,RPLP1,PML,PSMA4,ISG20,RPS2,RPS15A,MT2A,CYBA,RPL13,RPL26,LGALS9,RPL23A,CCL2,CCL8,CCL3,CCL4,RPL19,CNP,DHX58,STAT3,RPL27,KPNB1,TRIM25,RPL38,H3F3B,RPS15,RPL36,RPS28,C19orf66,BST2,RPL18A,UBA52,RPS16,TGFB1,RPS19,RPS11,NUP62,RPS9,LILRB2,LILRB1,RPL28,RPS5,RBCK1,PANK2,SAMHD1,TOP1,RPS21,MX2,MX1,APOL2,APOL1,APOBEC3A,APOBEC3B,APOBEC3G,MSN,RPS4X,RPL39,FMR1,RPL10
infected	GO:0006614	2.60073594397179e-44	1	61	81	SRP-dependent cotranslational protein targeting to membrane	BP	2.28825752030358e-40	9.75210355987055	2.60073594397179e-44	515	6669	41.1293993463813	[24.2-72.5]	24.2317418528284	RPL22,RPL11,RPS8,RPS27,RPS7,RPS27A,RPL37A,RPL32,RPSA,RPL14,RPL29,RPL24,RPL35A,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,RPS20,RPL30,RPL8,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS25,RPL41,RPL6,RPL21,RPS29,RN7SL2,RPLP1,RPS2,RPS15A,RPL13,RPL26,RPL23A,RPL19,RPL27,RPL38,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPS11,RPS9,RPL28,RPS5,RPS21,RPS4X,RPL39,RPL10
infected	GO:0006613	3.00815450200684e-43	1	61	83	cotranslational protein targeting to membrane	BP	1.76448315906048e-39	9.51711311264475	3.00815450200684e-43	515	6669	37.3672506030572	[22.4-64.7]	22.399738262315	RPL22,RPL11,RPS8,RPS27,RPS7,RPS27A,RPL37A,RPL32,RPSA,RPL14,RPL29,RPL24,RPL35A,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,RPS20,RPL30,RPL8,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS25,RPL41,RPL6,RPL21,RPS29,RN7SL2,RPLP1,RPS2,RPS15A,RPL13,RPL26,RPL23A,RPL19,RPL27,RPL38,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPS11,RPS9,RPL28,RPS5,RPS21,RPS4X,RPL39,RPL10
infected	GO:0045047	4.99184499148809e-42	1	61	86	protein targeting to ER	BP	2.1960374078804e-38	9.1851207947618	4.99184499148809e-42	515	6669	32.904716363372	[20.1-55.2]	20.1104134045461	RPL22,RPL11,RPS8,RPS27,RPS7,RPS27A,RPL37A,RPL32,RPSA,RPL14,RPL29,RPL24,RPL35A,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,RPS20,RPL30,RPL8,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS25,RPL41,RPL6,RPL21,RPS29,RN7SL2,RPLP1,RPS2,RPS15A,RPL13,RPL26,RPL23A,RPL19,RPL27,RPL38,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPS11,RPS9,RPL28,RPS5,RPS21,RPS4X,RPL39,RPL10
infected	GO:0016032	5.74504518038942e-41	1	134	464	viral process	BP	2.02191120078625e-37	3.73973049882826	5.74504518038942e-41	515	6669	6.20396591018301	[4.9-7.8]	4.90954069690937	ISG15,RPL22,RPL11,RPS8,GTF2B,RPS27,ADAR,IFI16,RPS7,RSAD2,EIF2AK2,RPS27A,TANK,IFIH1,SSB,STAT1,CFLAR,CASP8,RPL37A,AP1S3,SP110,SP100,RPL32,RPSA,RPL14,RPL29,RPL24,PLSCR1,RPL35A,SCARB2,RPL34,RPS3A,RICTOR,RPL37,RPS23,CD74,RPS14,DEK,TRIM38,HLA-DRA,TAP2,PSMB8,PSMB9,TAP1,RPS18,RPL10A,MB21D1,RPS12,DYNLT1,PILRA,ZC3HAV1,CUL1,LYN,RPS20,RPL30,RPL8,DDX58,CHMP5,TRIM14,STOM,RPL35,RPL12,RPL7A,RPS24,IFIT1,IFIT5,IFITM2,IFITM3,IRF7,RPLP2,TRIM21,TRIM5,TRIM22,RPL27A,RPS13,RPS25,RPL41,STAT2,RPL6,OAS1,OAS3,OASL,RPL21,RPS29,PSMA3,B2M,ANXA2,RPLP1,PML,PSMA4,ISG20,RPS2,RPS15A,RPL13,RPL26,LGALS9,RPL23A,CCL2,CCL8,CCL3,CCL4,RPL19,DHX58,STAT3,RPL27,KPNB1,TRIM25,RPL38,RPS15,RPL36,RPS28,C19orf66,BST2,RPL18A,UBA52,RPS16,TGFB1,RPS19,RPS11,NUP62,RPS9,RPL28,RPS5,RBCK1,TOP1,RPS21,MX1,APOBEC3A,APOBEC3G,MSN,RPS4X,RPL39,FMR1,RPL10
infected	GO:0072599	7.96640199270771e-41	1	61	89	establishment of protein localization to endoplasmic reticulum	BP	2.33641293109463e-37	8.87550998145522	7.96640199270771e-41	515	6669	29.3540646972369	[18.3-48.2]	18.2674316405395	RPL22,RPL11,RPS8,RPS27,RPS7,RPS27A,RPL37A,RPL32,RPSA,RPL14,RPL29,RPL24,RPL35A,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,RPS20,RPL30,RPL8,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS25,RPL41,RPL6,RPL21,RPS29,RN7SL2,RPLP1,RPS2,RPS15A,RPL13,RPL26,RPL23A,RPL19,RPL27,RPL38,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPS11,RPS9,RPL28,RPS5,RPS21,RPS4X,RPL39,RPL10
infected	GO:0044419	1.99567605150587e-40	1	138	494	interspecies interaction between organisms	BP	4.68955894409764e-37	3.61747572815534	1.99567605150587e-40	515	6669	5.95877400219834	[4.7-7.5]	4.73265460756886	ISG15,RPL22,RPL11,RPS8,GTF2B,RPS27,ADAR,IFI16,RPS7,RSAD2,EIF2AK2,RPS27A,TANK,IFIH1,SSB,STAT1,CFLAR,CASP8,RPL37A,AP1S3,SP110,SP100,RPL32,RPSA,RPL14,RPL29,RPL24,PLSCR1,RPL35A,SCARB2,RPL34,RPS3A,RICTOR,RPL37,RPS23,CD74,RPS14,SERPINB9,DEK,TRIM38,HLA-DRA,TAP2,PSMB8,PSMB9,TAP1,RPS18,RPL10A,MB21D1,RPS12,DYNLT1,PILRA,ZC3HAV1,CUL1,LYN,RPS20,RPL30,RPL8,DDX58,CHMP5,TRIM14,STOM,RPL35,RPL12,RPL7A,RPS24,IFIT1,IFIT5,IFITM2,IFITM3,IRF7,RPLP2,TRIM21,TRIM5,TRIM22,RPL27A,RPS13,RPS25,CLEC7A,RPL41,STAT2,RPL6,OAS1,OAS3,OASL,RPL21,RPS29,PSMA3,CALM1,B2M,ANXA2,RPLP1,PML,PSMA4,ISG20,RPS2,RPS15A,RPL13,RPL26,LGALS9,RPL23A,CCL2,CCL8,CCL3,CCL4,RPL19,DHX58,STAT3,RPL27,KPNB1,TRIM25,RPL38,RPS15,RPL36,RPS28,C19orf66,BST2,RPL18A,UBA52,RPS16,TGFB1,RPS19,RPS11,NUP62,RPS9,RPL28,RPS5,RBCK1,TOP1,RPS21,MX1,APOL1,APOBEC3A,APOBEC3G,MSN,RPS4X,RPL39,FMR1,RPL10
infected	GO:0044403	2.1319811077332e-40	1	136	482	symbiont process	BP	4.68955894409764e-37	3.65380493896789	2.1319811077332e-40	515	6669	6.02058502510136	[4.8-7.6]	4.77387151841658	ISG15,RPL22,RPL11,RPS8,GTF2B,RPS27,ADAR,IFI16,RPS7,RSAD2,EIF2AK2,RPS27A,TANK,IFIH1,SSB,STAT1,CFLAR,CASP8,RPL37A,AP1S3,SP110,SP100,RPL32,RPSA,RPL14,RPL29,RPL24,PLSCR1,RPL35A,SCARB2,RPL34,RPS3A,RICTOR,RPL37,RPS23,CD74,RPS14,SERPINB9,DEK,TRIM38,HLA-DRA,TAP2,PSMB8,PSMB9,TAP1,RPS18,RPL10A,MB21D1,RPS12,DYNLT1,PILRA,ZC3HAV1,CUL1,LYN,RPS20,RPL30,RPL8,DDX58,CHMP5,TRIM14,STOM,RPL35,RPL12,RPL7A,RPS24,IFIT1,IFIT5,IFITM2,IFITM3,IRF7,RPLP2,TRIM21,TRIM5,TRIM22,RPL27A,RPS13,RPS25,RPL41,STAT2,RPL6,OAS1,OAS3,OASL,RPL21,RPS29,PSMA3,CALM1,B2M,ANXA2,RPLP1,PML,PSMA4,ISG20,RPS2,RPS15A,RPL13,RPL26,LGALS9,RPL23A,CCL2,CCL8,CCL3,CCL4,RPL19,DHX58,STAT3,RPL27,KPNB1,TRIM25,RPL38,RPS15,RPL36,RPS28,C19orf66,BST2,RPL18A,UBA52,RPS16,TGFB1,RPS19,RPS11,NUP62,RPS9,RPL28,RPS5,RBCK1,TOP1,RPS21,MX1,APOBEC3A,APOBEC3G,MSN,RPS4X,RPL39,FMR1,RPL10
infected	GO:0000184	2.99232479347876e-40	1	62	94	nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	BP	5.85065993231619e-37	8.5411691799215	2.99232479347876e-40	515	6669	26.1476251134367	[16.6-41.9]	16.6086171354155	RPL22,RPL11,RPS8,RPS27,RPS7,RPS27A,RPL37A,RPL32,RPSA,RPL14,RPL29,RPL24,RPL35A,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,PPP2R2A,RPS20,RPL30,RPL8,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS25,RPL41,RPL6,RPL21,RPS29,RPLP1,RPS2,RPS15A,RPL13,RPL26,RPL23A,RPL19,RPL27,RPL38,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPS11,RPS9,RPL28,RPS5,RPS21,HELZ2,RPS4X,RPL39,RPL10
infected	GO:0022626	1.10099583011878e-39	1	61	92	cytosolic ribosome	CC	1.93742236226003e-36	8.58609117771211	1.10099583011878e-39	515	6669	26.5021455778962	[16.7-42.7]	16.736715940009	RPL22,RPL11,RPS8,RPS27,RPS7,EIF2AK2,RPS27A,RPL37A,RPL32,RPSA,RPL14,RPL29,RPL24,RPL35A,RPL34,RPS3A,RPL37,RPS23,RPS14,RPS18,RPL10A,RPS12,RPS20,RPL30,RPL8,RPL35,RPL12,RPL7A,RPS24,RPLP2,RPL27A,RPS13,RPS25,RPL41,RPL6,RPL21,RPS29,RPLP1,RPS2,RPS15A,RPL13,RPL26,RPL23A,RPL19,RPL27,RPL38,RPS15,RPL36,RPS28,RPL18A,UBA52,RPS16,RPS19,RPS11,RPS9,RPL28,RPS5,RPS21,RPS4X,RPL39,RPL10
