ens	gene	classical_nonclassical_pval	classical_nonclassical_fdr	classical_nonclassical_AUC	intermediate_classical_pval	intermediate_classical_fdr	classical_nonclassical_logFC	upregulated_in	intermediate_classical_AUC	intermediate_classical_logFC	intermediate_nonclassical_pval	intermediate_nonclassical_fdr	relative_classic	relative_nonclassic	intermediate_nonclassical_AUC	intermediate_nonclassical_logFC	minP
ENSG00000101916	TLR8	2.96612358736492e-05	7.05261199088996e-05	0.460279396194836	1.27746580989841e-05	6.04359855837504e-05	-0.0649571956858298	nonsig	0.541244730220327	0.0614715965176895	0.451051433763108	0.679803935339647	nonsig	nonsig	0.510005781117979	-0.00354348250508564	-0.00354348250508564
ENSG00000157601	MX1	0.841284345896799	0.871086160496483	0.506514172684219	0.454199953269872	0.553899438096052	0.0421455806008413	nonsig	0.487605100532997	-0.0532498857864049	0.37533985459193	0.618480005785213	nonsig	nonsig	0.485369324498599	-0.00844763161005259	-0.00844763161005259
ENSG00000185507	IRF7	0.111546446180567	0.150201479320018	0.485297940190068	0.261125086925315	0.358773360449183	-0.0117649216584475	nonsig	0.516332186138296	0.00233118623573576	0.433027216500379	0.665333780775142	nonsig	nonsig	0.488704584871259	-0.0103693935127788	-0.0103693935127788
ENSG00000122643	NT5C3A	0.000118884101430238	0.00026304683773547	0.460059087191647	0.0399123310214923	0.0759675184809739	-0.0580028029440757	nonsig	0.526206089103536	0.0332391465102214	0.168533431744734	0.385735620088072	nonsig	nonsig	0.475763774625339	-0.0249168979026537	-0.0249168979026537
ENSG00000213928	IRF9	0.000125030774854139	0.000275187638276088	0.464509646047435	0.148633542021178	0.229579038820325	-0.0507406328691555	nonsig	0.513464198544998	0.00968062891352989	0.32653539739879	0.568463937277332	nonsig	nonsig	0.480433139147063	-0.0393241775471822	-0.0393241775471822
ENSG00000187608	ISG15	4.68400397957042e-15	2.52583951377776e-14	0.41226946802508	9.7358150922312e-07	5.77977431542677e-06	-0.21376682133191	nonclassical	0.564089490654845	0.168569853710301	0.285932844832345	0.526332059741528	nonsig	nonsig	0.477120113843554	-0.0394804334936793	-0.0394804334936793
ENSG00000119917	IFIT3	1.62276342088355e-14	8.39555956982483e-14	0.447255805696969	9.48135196490826e-06	4.61398983742991e-05	-0.123869099135455	nonsig	0.529923850798552	0.045108956479779	0.143728480561893	0.348209992365593	nonsig	nonsig	0.473384622226175	-0.0808878103194277	-0.0808878103194277
ENSG00000183486	MX2	0.257105704357924	0.31691057676565	0.478509569969505	0.447758830343582	0.547353562186121	-0.0468575680952762	nonsig	0.490170946223462	-0.0713083372083827	0.0850339218142067	0.250462559181896	nonsig	nonsig	0.459509939075911	-0.122048522578892	-0.122048522578892
ENSG00000142089	IFITM3	1.05399096754985e-102	7.1128890442445e-101	0.210983117039554	4.33835927208991e-54	4.52471152264104e-52	-0.98624959240571	nonclassical	0.74188111660317	0.84396629119343	0.00180084482611833	0.0148662024912273	up	nonsig	0.430092942589051	-0.159807813225618	-0.159807813225618
ENSG00000130303	BST2	0.027915554068228	0.0423485876426771	0.469353274203876	0.0302740712555096	0.0597024980625412	-0.0762436607050073	nonsig	0.535794373551253	0.0857429229334908	0.97193510491691	0.99248112960919	nonsig	nonsig	0.500244585760662	0.00641679778301745	0.00641679778301745
ENSG00000132274	TRIM22	0.373747501773144	0.439386556291895	0.491560104733949	0.860661212240906	0.901428869401298	0.00793065935343184	nonsig	0.502908115814768	-0.0124272079203874	0.891485971482074	0.954220292950587	nonsig	nonsig	0.497331791701872	0.00840744494555567	0.00840744494555567
ENSG00000111331	OAS3	0.599677592152631	0.657567615385525	0.491934154552313	2.64047616353967e-05	0.000117528080644845	-0.0114894854310172	nonsig	0.549135826948225	0.091615656866484	0.00156435335050588	0.0132240423322625	nonsig	nonsig	0.554298038866901	0.0828928557733087	0.0132240423322625
ENSG00000160710	ADAR	0.0695948230701511	0.0972798898148492	0.472543792357972	0.0173346776084171	0.0372071260734452	-0.0565222776573922	nonsig	0.540534224651947	0.0855649406713019	0.741920982282769	0.879611732943715	nonsig	nonsig	0.509316493974296	0.0255216452620083	0.0255216452620083
ENSG00000134321	RSAD2	0.458381978788352	0.525353371793144	0.504567845663241	0.0205150732794422	0.0429487551456936	0.0246966259082195	nonsig	0.516011160366536	0.00568645517186955	0.0207848802585075	0.0957692257116274	nonsig	nonsig	0.525347978832214	0.0339063807760101	0.0339063807760101
ENSG00000055332	EIF2AK2	0.0537863037114085	0.0766062531755598	0.528532393348253	0.435793564557982	0.536442239205091	0.105259514481149	nonsig	0.484807927448176	-0.0599339746101012	0.151807316795949	0.359919346662398	nonsig	nonsig	0.528616533997421	0.0582069704231582	0.0582069704231582
ENSG00000188313	PLSCR1	3.37306891218384e-26	3.29340707191737e-25	0.641856808657668	7.69914653667013e-09	6.22031398886959e-08	0.341717081987678	classical	0.40997351537383	-0.219873457816384	0.0151006941426191	0.0766703893825784	down	nonsig	0.546693645217237	0.116821777326405	0.0766703893825784
ENSG00000126709	IFI6	0.176268038476725	0.226644446222945	0.524715817235455	0.651762979158925	0.731818035566505	0.10801362097866	nonsig	0.494632260257482	-0.023028260586648	0.497888412210148	0.714449632155212	nonsig	nonsig	0.520589674033886	0.0924667054452619	0.0924667054452619
ENSG00000137959	IFI44L	1.53004617630069e-12	6.94498704554288e-12	0.589835354681646	0.000407469654220324	0.00137592218043934	0.32277528692339	classical	0.445446863153323	-0.196530072824964	0.0218663095464858	0.0991546388427109	nonsig	nonsig	0.542758037977498	0.143907120697714	0.0991546388427109
